Date,Open,High,Low,Close,Volume,OpenInterest,rsi,sma,macd,signal,histogram
2019-10-17,1.83,1.8708,1.83,1.84,10444,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-18,1.85,1.85,1.7688,1.7701,25428,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-21,1.76,1.8869,1.76,1.8201,14908,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-22,1.795,1.82,1.78,1.78,24534,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-23,1.76,1.8578,1.76,1.8299,6386,0.0,0.0,1.80802,0.0,0.0,0.0
2019-10-24,1.83,1.8709,1.7973,1.8309,7236,0.0,0.0,1.8062,0.0,0.0,0.0
2019-10-25,1.79,1.87,1.7899,1.87,18011,0.0,0.0,1.82618,0.0,0.0,0.0
2019-10-28,1.9,1.9,1.79,1.79,7046,0.0,0.0,1.8201599999999998,0.0,0.0,0.0
2019-10-29,1.8,1.8,1.6785,1.75,18496,0.0,0.0,1.8141599999999998,0.0,0.0,0.0
2019-10-30,1.71,1.79,1.71,1.7892,17082,0.0,0.0,1.80602,0.0,0.0,0.0
2019-10-31,1.79,1.79,1.75,1.78,3738,0.0,0.0,1.7958399999999997,0.0,0.0,0.0
2019-11-01,1.81,1.89,1.7690000000000001,1.83,3522,0.0,0.0,1.78784,0.0,0.0,0.0
2019-11-04,1.77,1.8155,1.7338,1.81,5905,0.0,0.0,1.79184,0.0,0.0,0.0
2019-11-05,1.74,1.78,1.74,1.74,5778,0.0,0.0,1.78984,0.0,0.0,0.0
2019-11-06,1.75,1.75,1.7,1.7181,3128,0.0,39.4968119937963,1.77562,0.0,0.0,0.0
2019-11-07,1.71,1.7519999999999998,1.71,1.7201,10112,0.0,39.72054570187138,1.76364,0.0,0.0,0.0
2019-11-08,1.7492,1.7492,1.71,1.73,12260,0.0,40.88583722457063,1.7436400000000003,0.0,0.0,0.0
2019-11-11,1.73,1.73,1.72,1.72,652,0.0,40.04376438237676,1.7256400000000005,0.0,0.0,0.0
2019-11-12,1.71,1.72,1.7,1.7,3104,0.0,38.34287481824226,1.71764,0.0,0.0,0.0
2019-11-13,1.7,1.71,1.7,1.71,120,0.0,39.72153766521744,1.7160200000000003,0.0,0.0,0.0
2019-11-14,1.7,1.74,1.7,1.7316,9369,0.0,42.701798173689156,1.7183200000000003,0.0,0.0,0.0
2019-11-15,1.74,1.74,1.7,1.7,9599,0.0,39.615913098778094,1.71232,0.0,0.0,0.0
2019-11-18,1.68,1.7,1.65,1.6732,7946,0.0,37.16302870548049,1.7029599999999998,0.0,0.0,0.0
2019-11-19,1.7,1.74,1.7,1.74,5941,0.0,46.11823464765692,1.7109599999999998,0.0,0.0,0.0
2019-11-20,1.75,1.7715,1.6787,1.7695,12790,0.0,49.538433071760146,1.7228599999999998,0.0,0.0,0.0
2019-11-21,1.81,1.87,1.751,1.851,64931,0.0,57.5545012682735,1.7467399999999995,-0.016221662855981478,0.0,0.0
2019-11-22,1.89,1.89,1.68,1.88,17203,0.0,59.990033764955434,1.7827399999999998,-0.0048704011148246185,0.0,0.0
2019-11-25,1.88,1.88,1.75,1.79,12234,0.0,50.336720499627724,1.8061,-0.0031009464616125193,0.0,0.0
2019-11-26,1.8,1.84,1.8,1.8115,10715,0.0,52.31094546609528,1.8204,3.5816545452371784e-05,0.0,0.0
2019-11-27,1.8,1.845,1.8,1.8001,9072,0.0,51.149879395693205,1.82652,0.0015835845248286518,0.0,0.0
2019-11-29,1.8135,1.8135,1.8047,1.8047,789,0.0,51.616537670829494,1.81726,0.0031451282747692044,0.0,0.0
2019-12-02,1.8,1.8492,1.8,1.8164,5658,0.0,52.8502819300977,1.8045399999999996,0.0052660514033580075,0.0,0.0
2019-12-03,1.84,1.84,1.7437,1.7437,3156,0.0,45.1467797134071,1.7952799999999995,0.0010683011319860825,0.0,0.0
2019-12-04,1.79,1.79,1.7415,1.7601,1641,0.0,47.02274365642218,1.7849999999999997,-0.0009244468143250195,-0.0015576194851499242,0.0006331726708249047
2019-12-05,1.73,1.73,1.6604,1.7027,5164,0.0,41.65335245579739,1.765519999999999,-0.007054098945317389,-0.0026569153771834175,-0.004397183568133971
2019-12-06,1.72,1.72,1.6,1.649,11932,0.0,37.35579100921277,1.7343799999999994,-0.016059905042871803,-0.0053375133103210955,-0.010722391732550707
2019-12-09,1.62,1.6551,1.6164,1.6164,5619,0.0,34.995261802250084,1.6943799999999996,-0.025533286970666813,-0.009376668042390238,-0.016156618928276575
2019-12-10,1.61,1.61,1.5378,1.5535,5741,0.0,30.933634085828572,1.6563399999999997,-0.037682138487079575,-0.015037762131328106,-0.02264437635575147
2019-12-11,1.52,1.52,1.4589,1.4847,9645,0.0,27.213204957667003,1.6012599999999997,-0.05225936245592644,-0.022482082196247775,-0.029777280259678664
2019-12-12,1.47,1.4801,1.35,1.39,17948,0.0,23.095657233063804,1.5387199999999996,-0.0706391320901405,-0.03211349217502632,-0.03852563991511418
2019-12-13,1.38,1.422,1.3696,1.4182,28953,0.0,26.65455810211873,1.4925599999999997,-0.08198465950053468,-0.042087725640128,-0.039896933860406686
2019-12-16,1.45,1.52,1.45,1.5,11800,0.0,35.918327636817715,1.4692799999999997,-0.08341395123801698,-0.050352970759705795,-0.033060980478311186
2019-12-17,1.51,1.51,1.35,1.4309,4545,0.0,32.21660547970039,1.4447599999999994,-0.08909543107521212,-0.058101462822807065,-0.030993968252405052
2019-12-18,1.47,1.81,1.4413,1.59,148782,0.0,46.01269932956765,1.4658199999999997,-0.07983966250235697,-0.062449102758717054,-0.017390559743639913
2019-12-19,1.59,1.68,1.5058,1.5856,25332,0.0,45.7354611308561,1.5049399999999993,-0.07202913541533551,-0.06436510929004075,-0.007664026125294765
2019-12-20,1.5048,1.58,1.5,1.5075,8330,0.0,41.01191222158257,1.5227999999999993,-0.07131913116863386,-0.06575591366575936,-0.005563217502874501
2019-12-23,1.4405,1.52,1.4,1.4948,12092,0.0,40.28333079227762,1.5217599999999991,-0.07096321181673226,-0.06679737329595395,-0.004165838520778314
2019-12-24,1.45,1.45,1.4101,1.43,8673,0.0,36.700727507765535,1.5215799999999993,-0.07504489082231669,-0.06844687680122649,-0.006598014021090198
2019-12-26,1.48,1.4842,1.45,1.4737,5789,0.0,40.54116629898004,1.4983199999999992,-0.07390153516205,-0.0695378084733912,-0.004363726688658809
2019-12-27,1.45,1.45,1.4,1.4,9071,0.0,36.5172333947581,1.4611999999999994,-0.07804276323264392,-0.07123879942524174,-0.006803963807402183
2019-12-30,1.42,1.42,1.37,1.38,44295,0.0,35.4878402935726,1.4356999999999993,-0.08199338051607064,-0.07338971564340752,-0.00860366487266312
2019-12-31,1.37,1.41,1.3609,1.3609,10309,0.0,34.48798027514261,1.4089199999999995,-0.08567784271230439,-0.07584734105718689,-0.009830501655117493
2020-01-02,1.3505,1.38,1.35,1.35,3850,0.0,33.90096486078433,1.3929199999999995,-0.08845765961576646,-0.0783694047689028,-0.010088254846863653
2020-01-03,1.3573,1.4892,1.3573,1.4736,39085,0.0,45.27564193760274,1.3928999999999994,-0.07976768528525047,-0.07864906087217234,-0.0011186244130781259
2020-01-06,1.51,1.51,1.36,1.43,19095,0.0,42.497466315194735,1.3988999999999994,-0.07552833006578363,-0.07802491471089461,0.0024965846451109747
2020-01-07,1.3899,1.44,1.3606,1.4335,13386,0.0,42.800890772261134,1.4095999999999995,-0.07106697392442585,-0.07663332655360086,0.005566352629175014
2020-01-08,1.41,1.58,1.3642,1.5112,88967,0.0,49.208451275788676,1.4396599999999995,-0.060563438783197476,-0.07341934899952018,0.012855910216322708
2020-01-09,1.57,1.6313,1.43,1.4518,27169,0.0,45.053358451856454,1.4600199999999994,-0.05638245325906488,-0.07001196985142913,0.01362951659236425
2020-01-10,1.46,1.5233,1.41,1.4754,35135,0.0,46.96928458347952,1.4603799999999991,-0.0505815961873477,-0.06612589511861285,0.015544298931265146
2020-01-13,1.52,1.7,1.4173,1.52,27452,0.0,50.48324846426414,1.4783799999999996,-0.04190250194383904,-0.061281216483658085,0.019378714539819042
2020-01-14,1.51,1.55,1.5,1.545,4796,0.0,52.38773742842943,1.5006799999999996,-0.032630818397570316,-0.05555113686644054,0.022920318468870222
2020-01-15,1.5445,1.798,1.5445,1.6130000000000002,50330,0.0,57.208716190509215,1.5210399999999993,-0.019570316264196697,-0.04835497274599178,0.028784656481795082
2020-01-16,1.69,1.72,1.63,1.63,18610,0.0,58.3442906719901,1.5566799999999992,-0.007758580219368927,-0.04023569424066721,0.032477114021298284
2020-01-17,1.63,1.6704,1.435,1.44,51124,0.0,44.21995654557227,1.5495999999999988,-0.013572649355536814,-0.03490308526364113,0.021330435908104316
2020-01-21,1.41,1.4735,1.41,1.41,15150,0.0,42.471636446038005,1.5275999999999992,-0.02036632005361061,-0.03199573222163503,0.01162941216802442
2020-01-22,1.5,1.55,1.44,1.53,51418,0.0,50.84360089278777,1.5245999999999988,-0.01588425213838529,-0.028773436204985084,0.012889184066599793
2020-01-23,1.48,1.48,1.41,1.44,6682,0.0,45.49593906967289,1.4899999999999989,-0.019371130528013536,-0.026892975069590777,0.007521844541577241
2020-01-24,1.44,1.4699,1.35,1.36,68232,0.0,41.334248020317155,1.4359999999999986,-0.028264028063727853,-0.027167185668418192,-0.0010968423953096607
2020-01-27,1.39,1.39,1.25,1.31,8651,0.0,38.93694060776532,1.4099999999999988,-0.03889790473058419,-0.029513329480851395,-0.009384575249732793
2020-01-28,1.28,1.34,1.2137,1.26,33030,0.0,36.647929928116326,1.3799999999999986,-0.05077461260654759,-0.03376558610599063,-0.017009026500556954
2020-01-29,1.21,1.26,1.1382,1.16,17570,0.0,32.52910958720011,1.3059999999999987,-0.06747830552809653,-0.04050812999041181,-0.026970175537684715
2020-01-30,1.16,1.24,1.1537,1.1603,6901,0.0,32.5535995494288,1.2500599999999988,-0.07977232926403288,-0.04836096984513603,-0.031411359418896855
2020-01-31,1.15,1.2201,1.15,1.1569,15678,0.0,32.410019758956125,1.2094399999999987,-0.0887665378404614,-0.05644208344420111,-0.03232445439626029
2020-02-03,1.16,1.186,1.15,1.16,12609,0.0,32.70147194966003,1.179439999999999,-0.09455440452751529,-0.06406454766086395,-0.030489856866651344
2020-02-04,1.18,1.18,1.15,1.15,3256,0.0,32.21883800079526,1.157439999999999,-0.09880923564099042,-0.07101348525688925,-0.027795750384101175
2020-02-05,1.16,1.16,1.15,1.155,6867,0.0,32.75325043054046,1.156439999999999,-0.10061790120692105,-0.0769343684468956,-0.02368353276002544
2020-02-06,1.15,1.16,1.13,1.14,12437,0.0,31.93966377070425,1.1523799999999988,-0.10208488532601856,-0.08196447182272021,-0.02012041350329835
2020-02-07,1.13,1.1434,1.035,1.035,11428,0.0,26.90212186217218,1.1279999999999988,-0.11044693971760777,-0.08766096540169772,-0.02278597431591005
2020-02-10,1.04,1.1226,1.04,1.1008,19158,0.0,33.934238350063,1.116159999999999,-0.1104907494008458,-0.09222692220152734,-0.01826382719931846
2020-02-11,1.11,1.11,1.04,1.08,10384,0.0,32.85815338621049,1.102159999999999,-0.11092517864667806,-0.09596657349055748,-0.014958605156120575
2020-02-12,1.03,1.0502,1.03,1.0502,9131,0.0,31.3254995552404,1.0811999999999988,-0.1123786468176673,-0.09924898815597946,-0.013129658661687832
2020-02-13,1.08,1.11,1.0437,1.1,7254,0.0,36.64396875873019,1.073199999999999,-0.10826408601923809,-0.1010520077286312,-0.007212078290606896
2020-02-14,1.1,1.235,1.0566,1.15,77541,0.0,41.53928348846155,1.096199999999999,-0.09981804452737197,-0.10080521508837936,0.0009871705610073889
2020-02-18,1.17,1.6199,1.17,1.29,71425,0.0,52.586180624158935,1.1340399999999988,-0.0808951568112104,-0.09682320343294558,0.01592804662173518
2020-02-19,1.3,1.32,1.1,1.17,28363,0.0,44.77602624616753,1.1520399999999988,-0.07472029997591334,-0.09240262274153914,0.0176823227656258
2020-02-20,1.22,1.3,1.17,1.2376,28503,0.0,49.340580098468635,1.1895199999999988,-0.06363834319639672,-0.08664976683251066,0.023011423636113942
2020-02-21,1.22,1.22,1.11,1.11,17454,0.0,42.24294691608857,1.1915199999999988,-0.06440959252074818,-0.08220173197015818,0.017792139449409994
2020-02-24,1.06,1.165,1.0201,1.0501,35988,0.0,39.37918533777923,1.171539999999999,-0.0690581828173682,-0.07957302213960019,0.01051483932223199
2020-02-25,1.05,1.24,1.05,1.14,86838,0.0,45.3655948493265,1.1415399999999989,-0.06474174293218615,-0.07660676629811738,0.011865023365931232
2020-02-26,1.18,1.18,1.05,1.1257,23998,0.0,44.610942238095866,1.1326799999999988,-0.06176285991180497,-0.0736379850208549,0.011875125109049936
2020-02-27,1.13,1.1306,1.05,1.058,31631,0.0,41.12319774301734,1.0967599999999986,-0.0641256967486934,-0.07173552736642261,0.007609830617729213
2020-02-28,1.02,1.07,0.95,1.0299,45556,0.0,39.73460620745214,1.0807399999999985,-0.0674877404613703,-0.07088596998541215,0.003398229524041854
2020-03-02,1.0,1.0,0.9808,0.9840000000000001,13842,0.0,37.506745344220036,1.0675199999999987,-0.07301426769538932,-0.07131162952740758,-0.001702638167981746
2020-03-03,0.99,1.0078,0.97,0.98075,40264,0.0,37.34707249515268,1.0356699999999988,-0.07677135578249406,-0.07240357477842488,-0.004367781004069177
2020-03-04,0.97,1.0756,0.96,1.0,23704,0.0,39.003448882367074,1.0105299999999988,-0.07730444353412835,-0.07338374852956557,-0.0039206950045627825
2020-03-05,1.0,1.0,0.96,0.963,2268,0.0,36.979787929105456,0.9915299999999988,-0.07979270951009121,-0.0746655407256707,-0.005127168784420502
2020-03-06,0.96,1.01,0.96,1.0,8574,0.0,40.31471758206215,0.9855499999999988,-0.07788132006664261,-0.07530869659386509,-0.0025726234727775216
2020-03-09,1.05,1.05,0.97,0.97,42014,0.0,38.53415645606749,0.9827499999999988,-0.07788941870705579,-0.07582484101650323,-0.0020645776905525576
2020-03-10,0.97,1.0151,0.96,0.98,8847,0.0,39.49346644588467,0.9825999999999986,-0.0762104142947635,-0.0759019556721553,-0.0003084586226081987
2020-03-11,0.96,0.973,0.96,0.96,35164,0.0,38.20904947905656,0.9745999999999986,-0.07562190184302708,-0.07584594490632965,0.00022404306330256474
2020-03-12,0.96,1.0,0.8977,0.8977,36935,0.0,34.45050958803439,0.9615399999999988,-0.07926882910342714,-0.07653052174574915,-0.0027383073576779937
2020-03-13,0.9,0.9704,0.855,0.855,15628,0.0,32.11848816185707,0.9325399999999988,-0.0846290276225048,-0.07815022292110027,-0.0064788047014045225
2020-03-16,0.85,0.91,0.85,0.85,16333,0.0,31.846639431198312,0.9085399999999988,-0.0882630403924658,-0.08017278641537337,-0.008090253977092426
2020-03-17,0.89,0.9347,0.85,0.91,39990,0.0,38.56626486625479,0.8945399999999989,-0.08531802999408811,-0.08120183513111633,-0.004116194862971781
2020-03-18,0.85,0.93,0.7,0.7281,22887,0.0,29.174825004691016,0.8481599999999988,-0.0965489417333184,-0.08427125645155674,-0.012277685281761666
2020-03-19,0.72,0.7577,0.7,0.735,7344,0.0,29.87243777091082,0.8156199999999988,-0.10369738891666602,-0.0881564829445786,-0.015540905972087418
2020-03-20,0.75,1.1,0.75,0.9,8627,0.0,44.061589213301325,0.8246199999999988,-0.09495389438605051,-0.089515965232873,-0.0054379291531775065
2020-03-23,0.9,0.9045,0.8,0.84,10464,0.0,40.826668686059065,0.8226199999999988,-0.09180780728216587,-0.08997433364273158,-0.0018334736394342854
2020-03-24,0.882,1.06,0.75,0.8631,6423,0.0,42.57471146780223,0.8132399999999989,-0.08645394636280135,-0.08927025618674553,0.0028163098239441797
2020-03-25,0.9062,0.96,0.8,0.91,8354,0.0,46.05882264888611,0.8496199999999987,-0.07753278528509067,-0.08692276200641455,0.009389976721323884
2020-03-26,0.95,1.0,0.9,1.0,9946,0.0,52.06866026398304,0.9026199999999986,-0.062480219936057124,-0.08203425359234306,0.01955403365628594
2020-03-27,1.02,1.02,0.9501,0.9640000000000001,3423,0.0,49.684120351685934,0.9154199999999986,-0.05284666907928082,-0.07619673668973062,0.023350067610449804
2020-03-30,0.88,0.9988,0.88,0.9525,6477,0.0,48.91350614705185,0.9379199999999984,-0.045614152948424525,-0.0700802199414694,0.024466066993044877
2020-03-31,0.9,0.95,0.9,0.948,2815,0.0,48.595878571298115,0.9548999999999984,-0.03978680665845524,-0.06402153728486658,0.024234730626411335
2020-04-01,0.9385,1.01,0.9385,0.9485,1788,0.0,48.635789533325216,0.9625999999999983,-0.03472792501636024,-0.05816281483116531,0.02343488981480507
2020-04-02,0.9485,0.9485,0.905,0.9245,17184,0.0,46.759125392925924,0.9474999999999985,-0.03228318384359219,-0.05298688863365069,0.0207037047900585
2020-04-03,0.9226,0.9485,0.9226,0.9485,374,0.0,48.88324301250309,0.9443999999999984,-0.02808535889235131,-0.04800658268539082,0.01992122379303951
2020-04-06,0.95,0.95,0.93555,0.9451,4960,0.0,48.58750284262392,0.9429199999999984,-0.024747628701010327,-0.043354791888514724,0.018607163187504397
2020-04-07,0.9451,0.95,0.8,0.9,19032,0.0,44.72242733096832,0.9333199999999988,-0.025448294463338406,-0.03977349240347946,0.014325197940141053
2020-04-08,0.9001,0.9001,0.82,0.8753,13699,0.0,42.71818032500107,0.9186799999999988,-0.02767761043709016,-0.0373543160102016,0.009676705573111441
2020-04-09,0.8759999999999999,0.9085,0.8,0.8294,21594,0.0,39.20227209560155,0.8996599999999987,-0.032770349613823524,-0.036437522730925986,0.0036671731171024624
2020-04-13,0.8201,0.8552,0.82,0.820001,4677,0.0,38.503431903390606,0.8739601999999985,-0.037136713930480014,-0.036577360970836796,-0.0005593529596432181
2020-04-14,0.8145,0.89,0.8145,0.8220000000000001,17522,0.0,38.75350312577904,0.8493401999999985,-0.03997497983178655,-0.03725688474302675,-0.002718095088759802
2020-04-15,0.82,0.861,0.82,0.861,2904,0.0,43.5743762502464,0.8415401999999984,-0.03863202599569582,-0.03753191299356056,-0.001100113002135257
2020-04-16,0.865,0.865,0.82,0.8498,23382,0.0,42.53883328695455,0.8364401999999984,-0.0380330504717421,-0.03763214048919687,-0.0004009099825452306
2020-04-17,0.83,0.86,0.82,0.839169,29120,0.0,41.529954077082856,0.8383939999999985,-0.03797839955728566,-0.03770139230281463,-0.0002770072544710303
2020-04-20,0.83,0.85,0.83,0.83,5739,0.0,40.634827288788095,0.8403937999999986,-0.03823420981453729,-0.03780795580515916,-0.0004262540093781311
2020-04-21,0.78,0.7801,0.7020000000000001,0.7702,29973,0.0,35.29208405437033,0.8300337999999986,-0.04276928383586498,-0.03880022141130032,-0.003969062424564657
2020-04-22,0.77,0.7799,0.75,0.764001,64248,0.0,34.781555519055594,0.8106339999999987,-0.04632951238435967,-0.0403060796059122,-0.006023432778447475
2020-04-23,0.7768,0.778,0.735,0.74,6654,0.0,32.80299818179316,0.7886739999999988,-0.05050550327125036,-0.04234596433897983,-0.008159538932270533
2020-04-24,0.8102,0.8102,0.75,0.75,19113,0.0,34.475470345267375,0.7708401999999988,-0.05240400891458341,-0.044357573254100544,-0.008046435660482867
2020-04-27,0.75,0.7877,0.612,0.6729999999999999,123144,0.0,28.57743178905855,0.7394401999999987,-0.05943669557058995,-0.04737339771739842,-0.012063297853191525
2020-04-28,0.6943,0.748,0.6941,0.7479,19313,0.0,39.43208190431304,0.7349801999999988,-0.05829436522335185,-0.04955759121858911,-0.008736774004762742
2020-04-29,0.74,0.742,0.71,0.72,30628,0.0,37.16620824132988,0.7261799999999987,-0.058960694834793825,-0.051438211941830056,-0.007522482892963769
2020-04-30,0.757,0.757,0.72,0.7236,9934,0.0,37.663954737274665,0.7228999999999987,-0.05852365171173779,-0.05285529989581161,-0.005668351815926183
2020-05-01,0.8,0.8,0.65,0.74,63098,0.0,39.995918336726454,0.7208999999999988,-0.05620604069838353,-0.05352544805632599,-0.0026805926420575416
2020-05-04,0.74,0.74,0.7,0.71,10643,0.0,37.25068729507442,0.7282999999999987,-0.05614288630674269,-0.05404893570640933,-0.0020939506003333566
2020-05-05,0.7,0.74,0.65,0.716,17484,0.0,38.16482889725252,0.7219199999999988,-0.054974968919482725,-0.05423414234902402,-0.000740826570458708
2020-05-06,0.7,0.792,0.7,0.75,24584,0.0,43.21333851210946,0.7279199999999987,-0.05072118784491175,-0.05353155144820157,0.002810363603289817
2020-05-07,0.8,0.8,0.75,0.8,23208,0.0,49.71523188785788,0.7431999999999986,-0.042821830161474006,-0.051389607190856064,0.008567777029382058
2020-05-08,0.8,0.8,0.74,0.7499,11993,0.0,44.24831301945604,0.7451799999999986,-0.040141457843550166,-0.049139977321394884,0.008998519477844719
2020-05-11,0.793288,0.8,0.7070000000000001,0.7559999999999999,15873,0.0,45.040760819156176,0.7543799999999987,-0.037097388844110624,-0.046731459625938034,0.00963407078182741
2020-05-12,0.7206,0.79,0.7,0.71,14504,0.0,40.37966488968257,0.7531799999999986,-0.037959187903306435,-0.044977005281411714,0.007017817378105279
2020-05-13,0.7,0.761495,0.7,0.7599,24998,0.0,46.81008063861447,0.7551599999999986,-0.03422117647785239,-0.04282583952069985,0.00860466304284746
2020-05-14,0.76,0.76,0.71,0.7204,9269,0.0,42.86855199190472,0.7392399999999986,-0.034053547281523766,-0.041071381072864635,0.007017833791340869
2020-05-15,0.82,0.85,0.7,0.7136,32124,0.0,42.2096309842933,0.7319799999999986,-0.034076589395152235,-0.039672422737322154,0.005595833342169919
2020-05-18,0.71,0.761228,0.69,0.715,45148,0.0,42.40591107887218,0.7237799999999986,-0.03359462422041504,-0.03845686303394073,0.004862238813525696
