Date,Open,High,Low,Close,Volume,OpenInterest
2021-08-13,9.8,9.9,9.78,9.8,4793968,0.00
2021-08-16,9.8,9.84,9.76,9.79,321386,0.00
2021-08-17,9.797,9.8,9.77,9.79,271529,0.00
2021-08-18,9.81,9.84,9.79,9.82,99070,0.00
2021-08-19,9.85,9.85,9.8,9.84,3003,0.00
2021-08-20,9.8045,9.84,9.8045,9.82,3175,0.00
2021-08-23,9.81,9.83,9.8,9.81,260825,0.00
2021-08-24,9.82,9.855,9.82,9.85,389733,0.00
2021-08-25,9.8566,9.96,9.845,9.92,280942,0.00
2021-08-26,9.85,9.97,9.85,9.92,473670,0.00
2021-08-27,9.92,9.92,9.92,9.92,200,0.00
2021-09-01,9.94,9.94,9.89,9.895,16499,0.00
2021-09-02,9.84,9.84,9.84,9.84,100,0.00
2021-09-07,9.85,9.85,9.85,9.85,4342,0.00
2021-09-09,9.88,9.93,9.85,9.88,553023,0.00
2021-09-10,9.86,9.88,9.85,9.88,27250,0.00
2021-09-13,9.89,9.89,9.88,9.88,535,0.00
2021-09-14,9.8147,9.93,9.8147,9.92,30612,0.00
2021-09-20,9.88,9.905,9.88,9.88,126809,0.00
2021-09-21,9.93,9.93,9.895,9.93,1907379,0.00
2021-09-22,9.93,9.96,9.96,9.96,1101,0.00
2021-09-23,9.87,9.97,9.87,9.9,98016,0.00
2021-09-24,9.913,9.913,9.88,9.9,41276,0.00
2021-09-27,9.84,9.91,9.8342,9.9,1879,0.00
2021-09-30,9.91,9.92,9.91,9.92,25217,0.00
2021-10-01,9.97,9.97,9.91,9.91,100400,0.00
2021-10-04,9.99,9.99,9.8,9.86,3081,0.00
2021-10-06,9.965,9.965,9.965,9.965,176,0.00
2021-10-07,9.915,9.96,9.9,9.93,3744,0.00
2021-10-11,9.9434,9.9434,9.9434,9.9434,1000,0.00
2021-10-12,9.95,9.95,9.9,9.95,1000,0.00
2021-10-20,9.9,9.95,9.9,9.95,14615,0.00
2021-10-21,9.95,9.95,9.89,9.89,310319,0.00
2021-10-22,9.9,9.9,9.9,9.9,85326,0.00
2021-10-25,9.92,9.94,9.92,9.94,11543,0.00
2021-10-26,9.95,9.95,9.94,9.95,4200,0.00
2021-10-29,9.9,9.9,9.89,9.9,25032,0.00
2021-11-02,9.92,9.92,9.9,9.9,136347,0.00
2021-11-03,9.89,9.95,9.89,9.9,512635,0.00
2021-11-04,9.9,9.932,9.9,9.932,8932,0.00
2021-11-05,9.95,9.95,9.9,9.95,3200,0.00
2021-11-08,9.95,9.95,9.95,9.95,1590,0.00
