Date,Open,High,Low,Close,Volume
2021-11-19,159.915,159.935,159.88,159.88,4863
2021-11-19,159.905,159.915,159.885,159.905,6823
2021-11-19,159.925,159.955,159.925,159.95,1343
2021-11-19,159.965,160.005,159.965,160.005,2782
2021-11-19,160.01,160.01,159.925,159.945,2673
2021-11-19,159.915,159.945,159.915,159.94,3114
2021-11-19,159.895,159.9,159.83,159.87,1766
2021-11-19,159.885,159.89,159.74,159.74,2851
2021-11-19,159.76,159.78,159.75,159.77,2052
2021-11-19,159.77,159.77,159.735,159.755,3701
2021-11-19,159.75,159.765,159.745,159.76,2337
2021-11-19,159.76,159.79,159.76,159.775,2167
2021-11-19,159.785,159.86,159.78,159.86,3735
2021-11-19,159.9,159.9,159.83,159.87,1880
2021-11-19,159.89,159.93,159.805,159.925,4903
2021-11-19,159.94,159.94,159.855,159.865,5053
2021-11-19,159.84,159.845,159.705,159.795,6847
2021-11-19,159.825,159.825,159.765,159.765,7999
2021-11-19,159.785,159.815,159.765,159.805,2338
2021-11-19,159.785,159.815,159.75,159.815,3985
2021-11-19,159.825,159.96,159.825,159.96,3332
2021-11-19,159.94,159.99,159.91,159.91,4833
2021-11-19,159.935,159.98,159.9,159.975,2449
2021-11-19,160.02,160.04,160.02,160.04,453
2021-11-19,160.04,160.19,160.04,160.14,3634
2021-11-19,160.145,160.145,160.085,160.12,5458
2021-11-19,160.115,160.18,160.115,160.165,1978
2021-11-19,160.17,160.17,160.13,160.155,2792
2021-11-19,160.15,160.27,160.15,160.22,2704
2021-11-19,160.235,160.31,160.21,160.29,2356
2021-11-19,160.28,160.32,160.27,160.28,8482
2021-11-19,160.28,160.3,160.245,160.285,11842
2021-11-19,160.275,160.34,160.275,160.34,2027
2021-11-19,160.33,160.335,160.275,160.335,6382
2021-11-19,160.33,160.34,160.255,160.285,6587
2021-11-19,160.285,160.295,160.24,160.255,3504
2021-11-19,160.245,160.265,160.245,160.255,3896
2021-11-19,160.265,160.34,160.25,160.34,5997
2021-11-19,160.335,160.395,160.335,160.375,2264
2021-11-19,160.38,160.43,160.36,160.385,5638
2021-11-19,160.395,160.46,160.395,160.46,3845
2021-11-19,160.465,160.475,160.43,160.47,3292
2021-11-19,160.475,160.48,160.425,160.435,5658
2021-11-19,160.455,160.49,160.43,160.49,3027
2021-11-19,160.495,160.53,160.495,160.505,2945
2021-11-19,160.5,160.5,160.395,160.42,9692
2021-11-19,160.425,160.445,160.345,160.36,6836
2021-11-19,160.365,160.365,160.27,160.27,3047
2021-11-19,160.26,160.265,160.15,160.2,8589
2021-11-19,160.19,160.19,159.995,160.125,11120
2021-11-19,160.13,160.17,160.105,160.14,5044
2021-11-19,160.13,160.135,160.005,160.01,11049
2021-11-19,160.01,160.01,159.935,159.98,14964
2021-11-19,159.965,160,159.945,159.995,2791
2021-11-19,160,160.07,160,160.03,2424
2021-11-19,160.03,160.04,159.97,160.04,4066
2021-11-19,160.015,160.14,160.015,160.14,2753
2021-11-19,160.16,160.16,160.14,160.15,758
2021-11-19,160.15,160.24,160.12,160.24,3026
2021-11-19,160.22,160.26,160.215,160.255,2452
2021-11-19,160.22,160.25,160.19,160.24,3232
2021-11-19,160.27,160.28,160.255,160.27,1811
2021-11-19,160.27,160.32,160.19,160.215,15844
2021-11-19,160.215,160.23,160.05,160.08,6562
2021-11-19,160.04,160.07,159.955,159.955,9974
2021-11-19,159.965,160.14,159.94,160.14,6122
2021-11-19,160.15,160.23,160.15,160.23,4838
2021-11-19,160.26,160.26,160.12,160.12,2705
2021-11-19,160.06,160.095,160.02,160.02,1804
2021-11-19,160.02,160.03,159.985,160,4162
2021-11-19,160.055,160.055,160,160.025,3266
2021-11-19,160.035,160.045,159.96,159.96,2807
2021-11-19,159.96,159.975,159.81,159.81,3045
2021-11-19,159.81,159.94,159.81,159.905,6294
2021-11-19,159.895,159.94,159.8,159.92,4731
2021-11-19,159.94,159.99,159.795,159.89,13286
2021-11-19,159.88,159.935,159.88,159.9,9116
2021-11-19,159.935,159.975,159.9,159.97,5541
2021-11-19,159.96,160.03,159.96,159.985,4764
2021-11-19,159.985,160.035,159.985,160.025,3756
2021-11-19,160.02,160.06,159.97,160.06,2032
2021-11-19,160.03,160.08,160.03,160.07,4350
2021-11-19,160.075,160.11,160.07,160.08,3288
2021-11-19,160.1,160.29,160.095,160.225,8683
2021-11-19,160.165,160.25,160.15,160.23,2015
2021-11-19,160.29,160.42,160.29,160.41,3672
2021-11-19,160.45,160.5,160.39,160.475,2364
2021-11-19,160.46,160.505,160.45,160.465,4813
2021-11-19,160.47,160.47,160.37,160.37,3073
2021-11-19,160.365,160.45,160.365,160.43,2572
2021-11-19,160.425,160.425,160.32,160.36,7188
2021-11-19,160.355,160.43,160.35,160.4,4594
2021-11-19,160.395,160.45,160.385,160.45,8521
2021-11-19,160.48,160.67,160.48,160.67,5851
2021-11-19,160.68,160.72,160.665,160.7,4449
2021-11-19,160.69,160.73,160.665,160.69,2919
2021-11-19,160.61,160.675,160.61,160.64,2637
2021-11-19,160.63,160.655,160.35,160.42,8747
2021-11-19,160.42,160.58,160.42,160.53,4893
2021-11-19,160.51,160.55,160.46,160.55,5184
2021-11-19,160.52,160.62,160.51,160.62,2897
2021-11-19,160.62,160.62,160.515,160.515,3847
2021-11-19,160.545,160.545,160.455,160.515,4625
2021-11-19,160.535,160.575,160.535,160.545,5659
2021-11-19,160.54,160.63,160.54,160.605,3572
2021-11-19,160.605,160.695,160.595,160.695,6236
2021-11-19,160.66,160.735,160.66,160.72,3783
2021-11-19,160.7,160.75,160.68,160.74,2521
2021-11-19,160.73,160.73,160.595,160.65,4900
2021-11-19,160.625,160.655,160.625,160.645,3637
2021-11-19,160.645,160.645,160.57,160.595,1554
2021-11-19,160.59,160.59,160.555,160.58,3515
2021-11-19,160.6,160.61,160.56,160.61,3080
2021-11-19,160.635,160.645,160.62,160.635,2101
2021-11-19,160.615,160.615,160.535,160.585,3685
2021-11-19,160.625,160.635,160.625,160.635,1204
2021-11-19,160.635,160.66,160.61,160.65,4008
2021-11-19,160.65,160.66,160.62,160.635,3447
2021-11-19,160.62,160.67,160.62,160.67,3505
2021-11-19,160.69,160.74,160.69,160.735,5910
2021-11-19,160.75,160.8,160.75,160.765,8340
2021-11-19,160.805,160.835,160.79,160.825,4483
2021-11-19,160.835,160.835,160.73,160.76,7959
2021-11-19,160.76,160.76,160.7,160.7,9672
2021-11-19,160.69,160.725,160.66,160.71,7201
2021-11-19,160.725,160.76,160.71,160.72,5149
2021-11-19,160.755,160.755,160.72,160.75,3749
2021-11-19,160.725,160.765,160.715,160.765,4114
2021-11-19,160.725,160.745,160.605,160.605,24080
2021-11-19,160.62,160.62,160.52,160.58,4642
2021-11-19,160.595,160.62,160.58,160.6,2206
2021-11-19,160.565,160.64,160.555,160.62,3440
2021-11-19,160.615,160.625,160.58,160.58,1505
2021-11-19,160.61,160.61,160.54,160.54,5355
2021-11-19,160.545,160.59,160.545,160.59,3914
2021-11-19,160.585,160.585,160.525,160.555,5332
2021-11-19,160.555,160.675,160.555,160.675,6587
2021-11-19,160.66,160.66,160.61,160.615,4635
2021-11-19,160.63,160.63,160.58,160.61,5434
2021-11-19,160.575,160.63,160.56,160.63,7695
2021-11-19,160.615,160.62,160.54,160.55,4172
2021-11-19,160.575,160.575,160.51,160.525,4618
2021-11-19,160.545,160.555,160.4,160.415,9385
2021-11-19,160.415,160.45,160.38,160.4,4137
2021-11-19,160.39,160.39,160.3,160.31,4189
2021-11-19,160.35,160.365,160.31,160.33,2989
2021-11-19,160.325,160.41,160.325,160.41,1623
2021-11-19,160.425,160.485,160.41,160.485,7586
2021-11-19,160.48,160.505,160.455,160.48,6514
2021-11-19,160.49,160.505,160.48,160.5,5224
2021-11-19,160.49,160.49,160.42,160.46,6564
2021-11-19,160.435,160.45,160.36,160.38,2921
2021-11-19,160.43,160.43,160.4,160.4,972
2021-11-19,160.42,160.44,160.41,160.44,2948
2021-11-19,160.45,160.53,160.445,160.495,7431
2021-11-19,160.51,160.555,160.5,160.555,5577
2021-11-19,160.565,160.61,160.545,160.6,4527
2021-11-19,160.595,160.605,160.53,160.53,7168
2021-11-19,160.5,160.5,160.42,160.49,14192
2021-11-19,160.48,160.505,160.37,160.385,6534
2021-11-19,160.36,160.37,160.32,160.37,2595
2021-11-19,160.345,160.465,160.33,160.465,3012
2021-11-19,160.45,160.465,160.39,160.405,6605
2021-11-19,160.43,160.49,160.405,160.48,2523
2021-11-19,160.46,160.46,160.375,160.385,8742
2021-11-19,160.39,160.39,160.3,160.375,16386
2021-11-19,160.4,160.4,160.33,160.33,8093
2021-11-19,160.32,160.33,160.29,160.29,7439
2021-11-19,160.295,160.295,160.26,160.28,3122
2021-11-19,160.26,160.26,160.17,160.195,7627
2021-11-19,160.17,160.17,160.13,160.16,5256
2021-11-19,160.2,160.21,160.15,160.155,6632
2021-11-19,160.145,160.15,160.1,160.125,3449
2021-11-19,160.13,160.18,160.13,160.16,5038
2021-11-19,160.16,160.21,160.155,160.21,5397
2021-11-19,160.195,160.225,160.195,160.225,3170
2021-11-19,160.225,160.275,160.22,160.23,5499
2021-11-19,160.23,160.23,160.19,160.205,4988
2021-11-19,160.21,160.255,160.19,160.255,2200
2021-11-19,160.25,160.3,160.19,160.3,5234
