Date,Open,High,Low,Close,Volume
2021-11-19,155.78,155.78,155.78,155.78,290
2021-11-19,156.16,156.17,156.16,156.17,278
2021-11-19,156.3,156.35,156.26,156.32,913
2021-11-19,156.41,156.54,156.41,156.45,1892
2021-11-19,156.48,156.48,156.32,156.4,1243
2021-11-19,156.38,156.38,156.32,156.325,1790
2021-11-19,156.42,156.42,156.34,156.4,651
2021-11-19,156.4,156.4,156.15,156.15,1523
2021-11-19,156.1,156.1,156.01,156.01,659
2021-11-19,156.06,156.21,156.06,156.21,414
2021-11-19,156.16,156.16,156.15,156.15,300
2021-11-19,156.15,156.15,156.1,156.1,540
2021-11-19,156.11,156.11,156.11,156.11,396
2021-11-19,156.03,156.05,156.02,156.03,1179
2021-11-19,156.025,156.025,155.94,155.94,772
2021-11-19,156.01,156.19,156.01,156.19,682
2021-11-19,156.23,156.28,156.14,156.15,1485
2021-11-19,156.15,156.15,155.97,156,1522
2021-11-19,156.01,156.05,156,156,486
2021-11-19,155.98,155.98,155.96,155.96,326
2021-11-19,155.97,155.97,155.91,155.91,617
2021-11-19,155.91,155.96,155.91,155.96,581
2021-11-19,156.07,156.12,156.07,156.12,500
2021-11-19,156.21,156.38,156.21,156.38,1189
2021-11-19,156.39,156.39,156.27,156.28,1949
2021-11-19,156.22,156.22,156.15,156.2,610
2021-11-19,155.93,155.93,155.93,155.93,609
2021-11-19,155.97,155.98,155.79,155.92,840
2021-11-19,155.91,155.91,155.91,155.91,268
2021-11-19,155.89,155.89,155.89,155.89,101
2021-11-19,155.98,156,155.98,155.98,400
2021-11-19,155.95,155.95,155.86,155.86,966
2021-11-19,155.76,155.76,155.7,155.73,1048
2021-11-19,155.75,155.76,155.73,155.75,2949
2021-11-19,155.76,155.76,155.76,155.76,173
2021-11-19,155.855,156,155.855,156,1173
2021-11-19,156.01,156.01,155.92,155.95,1701
2021-11-19,155.93,156.1,155.93,156.1,1020
2021-11-19,156.13,156.215,156.05,156.05,900
2021-11-19,156.05,156.11,156.05,156.1,316
2021-11-19,156.11,156.14,156.1,156.14,901
2021-11-19,156.19,156.19,156.18,156.18,307
2021-11-19,156.27,156.535,156.235,156.44,4328
2021-11-19,156.52,156.61,156.42,156.61,2005
2021-11-19,156.58,156.64,156.375,156.375,3579
2021-11-19,156.37,156.6,156.37,156.44,2203
2021-11-19,156.51,156.51,156.49,156.51,803
2021-11-19,156.49,156.58,156.49,156.5,2018
2021-11-19,156.51,156.585,156.51,156.585,2300
2021-11-19,156.57,156.57,156.54,156.57,911
2021-11-19,156.62,156.79,156.62,156.74,1978
2021-11-19,156.77,156.77,156.675,156.74,1240
2021-11-19,156.76,156.76,156.73,156.755,1303
2021-11-19,156.805,156.815,156.75,156.75,5892
2021-11-19,156.75,156.78,156.75,156.78,327
2021-11-19,156.8,156.87,156.68,156.68,4476
2021-11-19,156.66,156.75,156.61,156.75,4439
2021-11-19,156.7,156.73,156.7,156.73,336
2021-11-19,156.7,156.7,156.44,156.46,800
2021-11-19,156.5,156.52,156.4,156.52,669
2021-11-19,156.54,156.63,156.54,156.63,1705
2021-11-19,156.61,156.61,156.34,156.34,1110
2021-11-19,156.29,156.3,156.16,156.3,1504
2021-11-19,156.18,156.26,156.18,156.23,570
2021-11-19,156.17,156.18,156.13,156.13,793
2021-11-19,156.15,156.15,156.12,156.12,403
2021-11-19,156.19,156.22,156.19,156.22,240
2021-11-19,156.21,156.21,156.21,156.21,111
2021-11-19,156.2,156.2,156.18,156.18,343
2021-11-19,156.13,156.13,156.13,156.13,138
2021-11-19,156.1,156.1,156.03,156.03,337
2021-11-19,155.98,156.1,155.97,156.1,761
2021-11-19,156.01,156.01,155.78,155.78,447
2021-11-19,155.72,155.76,155.7,155.7,601
2021-11-19,155.8,155.99,155.8,155.99,1313
2021-11-19,155.94,155.94,155.93,155.93,269
2021-11-19,155.9,155.98,155.9,155.98,411
2021-11-19,155.88,155.88,155.83,155.88,1666
