Date,Open,High,Low,Close,Volume
2021-11-19,140.305,140.35,140.22,140.22,1902
2021-11-19,140.16,140.27,140.15,140.265,3441
2021-11-19,140.32,140.425,140.28,140.39,3846
2021-11-19,140.41,140.45,140.35,140.39,4997
2021-11-19,140.43,140.52,140.4,140.4,3819
2021-11-19,140.45,140.5,140.36,140.36,2424
2021-11-19,140.285,140.365,140.25,140.31,6646
2021-11-19,140.29,140.35,140.28,140.35,1844
2021-11-19,140.29,140.33,140.21,140.21,3207
2021-11-19,140.215,140.215,140.15,140.15,4210
2021-11-19,140.12,140.25,140.12,140.25,5324
2021-11-19,140.265,140.34,140.25,140.34,3780
2021-11-19,140.34,140.34,140.3,140.32,2919
2021-11-19,140.315,140.315,140.21,140.21,1196
2021-11-19,140.13,140.14,140.08,140.14,3536
2021-11-19,140.13,140.205,140.13,140.18,2487
2021-11-19,140.19,140.22,140.16,140.16,2055
2021-11-19,140.15,140.27,140.15,140.26,3669
2021-11-19,140.2,140.245,140.17,140.22,2333
2021-11-19,140.23,140.25,140.215,140.23,1687
2021-11-19,140.12,140.14,140.1,140.13,1468
2021-11-19,140.13,140.15,140.1,140.11,1223
2021-11-19,140.08,140.14,140.08,140.14,1110
2021-11-19,140.13,140.13,140.05,140.055,983
2021-11-19,140.01,140.02,140,140.02,5581
2021-11-19,140.03,140.06,140.03,140.04,1739
2021-11-19,140.025,140.05,140.02,140.05,894
2021-11-19,140.07,140.13,140.05,140.13,1622
2021-11-19,140.15,140.17,140.12,140.12,701
2021-11-19,140.11,140.145,140.11,140.125,1280
2021-11-19,140.11,140.13,140.05,140.05,1416
2021-11-19,140.095,140.25,140.095,140.2,4677
2021-11-19,140.165,140.19,140.14,140.19,1973
2021-11-19,140.175,140.18,140.15,140.17,2456
2021-11-19,140.13,140.14,140.11,140.14,1456
2021-11-19,140.16,140.23,140.11,140.15,3312
2021-11-19,140.18,140.28,140.18,140.275,1166
2021-11-19,140.3,140.37,140.3,140.35,1582
2021-11-19,140.34,140.43,140.32,140.32,1584
2021-11-19,140.32,140.32,140.16,140.16,1269
2021-11-19,140.21,140.25,140.2,140.25,2080
2021-11-19,140.23,140.23,140.11,140.125,1650
2021-11-19,140.11,140.17,140.04,140.17,1904
2021-11-19,140.18,140.26,140.165,140.26,1292
2021-11-19,140.27,140.33,140.23,140.32,2202
2021-11-19,140.315,140.35,140.27,140.35,1657
2021-11-19,140.35,140.45,140.19,140.19,1559
2021-11-19,140.16,140.22,140.16,140.19,2749
2021-11-19,140.16,140.22,140.16,140.215,2445
2021-11-19,140.255,140.34,140.255,140.34,3299
2021-11-19,140.32,140.37,140.26,140.27,3068
2021-11-19,140.21,140.26,140.17,140.19,2029
2021-11-19,140.23,140.265,140.23,140.26,848
2021-11-19,140.27,140.33,140.26,140.33,1622
2021-11-19,140.225,140.32,140.22,140.29,10178
2021-11-19,140.29,140.42,140.29,140.39,2146
2021-11-19,140.4,140.41,140.35,140.41,5115
2021-11-19,140.43,140.46,140.42,140.46,2880
2021-11-19,140.49,140.49,140.35,140.35,1497
2021-11-19,140.36,140.4,140.35,140.38,1860
2021-11-19,140.37,140.385,140.22,140.22,9797
2021-11-19,140.21,140.32,140.18,140.31,1198
2021-11-19,140.33,140.38,140.32,140.35,1534
2021-11-19,140.37,140.39,140.35,140.35,1427
2021-11-19,140.34,140.41,140.34,140.4,2384
2021-11-19,140.41,140.46,140.41,140.46,1320
2021-11-19,140.485,140.535,140.485,140.53,2922
2021-11-19,140.525,140.53,140.5,140.5,2907
2021-11-19,140.47,140.47,140.39,140.41,608
2021-11-19,140.4,140.4,140.35,140.37,1462
2021-11-19,140.37,140.37,140.34,140.36,1423
2021-11-19,140.36,140.36,140.3,140.32,1194
2021-11-19,140.3,140.32,140.29,140.29,644
2021-11-19,140.41,140.43,140.41,140.425,512
2021-11-19,140.5,140.5,140.41,140.43,1035
2021-11-19,140.48,140.48,140.48,140.48,421
2021-11-19,140.5,140.59,140.47,140.47,2326
2021-11-19,140.47,140.545,140.41,140.51,3261
2021-11-19,140.5,140.57,140.49,140.56,4660
2021-11-19,140.555,140.66,140.555,140.66,1620
2021-11-19,140.6,140.6,140.52,140.52,1631
2021-11-19,140.53,140.53,140.53,140.53,2620
2021-11-19,140.51,140.545,140.51,140.545,3226
2021-11-19,140.57,140.61,140.51,140.515,2336
2021-11-19,140.61,140.61,140.61,140.61,348
2021-11-19,140.72,140.72,140.69,140.69,816
2021-11-19,140.61,140.61,140.56,140.61,361
2021-11-19,140.62,140.63,140.615,140.63,1395
2021-11-19,140.62,140.63,140.42,140.47,3731
2021-11-19,140.39,140.39,140.39,140.39,502
2021-11-19,140.5,140.56,140.48,140.55,1268
2021-11-19,140.63,140.63,140.62,140.62,571
2021-11-19,140.575,140.575,140.51,140.55,811
2021-11-19,140.555,140.56,140.555,140.56,530
