Date,Open,High,Low,Close,Volume
2021-11-19,45.355,45.36,45.355,45.355,3798
2021-11-19,45.365,45.365,45.355,45.355,1629
2021-11-19,45.365,45.365,45.34,45.34,1011
2021-11-19,45.365,45.37,45.365,45.365,1016
2021-11-19,45.355,45.37,45.355,45.37,2211
2021-11-19,45.375,45.39,45.375,45.39,3334
2021-11-19,45.385,45.39,45.385,45.39,842
2021-11-19,45.395,45.4,45.395,45.4,800
2021-11-19,45.395,45.395,45.38,45.38,1096
2021-11-19,45.375,45.4,45.375,45.4,600
2021-11-19,45.405,45.405,45.405,45.405,800
2021-11-19,45.41,45.41,45.41,45.41,100
2021-11-19,45.385,45.385,45.375,45.375,600
2021-11-19,45.375,45.375,45.365,45.375,1557
2021-11-19,45.375,45.385,45.375,45.385,700
2021-11-19,45.385,45.385,45.385,45.385,176
2021-11-19,45.375,45.375,45.37,45.37,1648
2021-11-19,45.375,45.375,45.365,45.365,1500
2021-11-19,45.365,45.37,45.365,45.37,1017
2021-11-19,45.365,45.365,45.36,45.365,887
2021-11-19,45.365,45.365,45.335,45.34,700
2021-11-19,45.335,45.34,45.335,45.34,427
2021-11-19,45.335,45.345,45.335,45.335,800
2021-11-19,45.335,45.345,45.325,45.325,756
2021-11-19,45.335,45.335,45.325,45.325,400
2021-11-19,45.31,45.31,45.28,45.28,3141
2021-11-19,45.285,45.285,45.275,45.275,2421
2021-11-19,45.275,45.275,45.25,45.255,2683
2021-11-19,45.25,45.255,45.25,45.255,726
2021-11-19,45.27,45.27,45.265,45.265,587
2021-11-19,45.255,45.255,45.235,45.235,895
2021-11-19,45.225,45.23,45.19,45.19,1815
2021-11-19,45.19,45.2,45.185,45.195,3075
2021-11-19,45.19,45.19,45.18,45.19,913
2021-11-19,45.19,45.19,45.18,45.19,4453
2021-11-19,45.19,45.2,45.19,45.19,10548
2021-11-19,45.195,45.215,45.195,45.205,5029
2021-11-19,45.2,45.2,45.185,45.195,2459
2021-11-19,45.185,45.205,45.185,45.205,1388
2021-11-19,45.215,45.225,45.215,45.225,2343
2021-11-19,45.22,45.22,45.185,45.185,675
2021-11-19,45.175,45.175,45.15,45.155,1275
2021-11-19,45.185,45.21,45.185,45.21,617
2021-11-19,45.225,45.225,45.225,45.225,300
2021-11-19,45.24,45.24,45.23,45.235,768
2021-11-19,45.235,45.235,45.235,45.235,410
2021-11-19,45.225,45.24,45.225,45.24,927
2021-11-19,45.245,45.245,45.235,45.235,300
2021-11-19,45.255,45.255,45.25,45.255,911
2021-11-19,45.26,45.265,45.26,45.265,413
2021-11-19,45.255,45.26,45.255,45.26,300
2021-11-19,45.27,45.275,45.27,45.275,536
2021-11-19,45.28,45.305,45.28,45.305,1615
2021-11-19,45.305,45.305,45.29,45.29,300
2021-11-19,45.27,45.275,45.27,45.275,590
2021-11-19,45.265,45.265,45.255,45.255,1300
2021-11-19,45.255,45.255,45.245,45.245,1839
2021-11-19,45.245,45.265,45.235,45.265,7573
2021-11-19,45.275,45.285,45.275,45.285,3397
