Date,Open,High,Low,Close,Volume
2021-11-19,20.25,20.25,20.24,20.25,3139
2021-11-19,20.25,20.25,20.245,20.245,368
2021-11-19,20.245,20.245,20.235,20.235,876
2021-11-19,20.235,20.245,20.22,20.22,1643
2021-11-19,20.22,20.24,20.22,20.24,2265
2021-11-19,20.265,20.265,20.255,20.255,981
2021-11-19,20.25,20.26,20.25,20.255,3709
2021-11-19,20.275,20.285,20.26,20.26,926
2021-11-19,20.26,20.26,20.25,20.255,1310
2021-11-19,20.25,20.27,20.25,20.27,1841
2021-11-19,20.25,20.25,20.25,20.25,100
2021-11-19,20.25,20.25,20.235,20.235,305
2021-11-19,20.245,20.245,20.24,20.24,312
2021-11-19,20.25,20.26,20.25,20.26,2000
2021-11-19,20.26,20.26,20.26,20.26,100
2021-11-19,20.285,20.29,20.28,20.29,1277
2021-11-19,20.29,20.29,20.275,20.275,419
2021-11-19,20.275,20.28,20.27,20.27,819
2021-11-19,20.27,20.27,20.255,20.255,738
2021-11-19,20.255,20.255,20.24,20.25,2671
2021-11-19,20.26,20.265,20.26,20.26,2453
2021-11-19,20.26,20.295,20.26,20.295,874
2021-11-19,20.295,20.295,20.29,20.29,260
2021-11-19,20.315,20.315,20.315,20.315,400
2021-11-19,20.315,20.315,20.3,20.3,1977
2021-11-19,20.295,20.315,20.295,20.315,425
2021-11-19,20.33,20.335,20.33,20.335,684
2021-11-19,20.335,20.335,20.335,20.335,420
2021-11-19,20.335,20.335,20.32,20.32,423
2021-11-19,20.315,20.345,20.315,20.335,783
2021-11-19,20.335,20.335,20.335,20.335,200
2021-11-19,20.335,20.345,20.325,20.325,1267
2021-11-19,20.325,20.325,20.32,20.32,500
2021-11-19,20.32,20.32,20.3,20.3,1100
2021-11-19,20.31,20.31,20.29,20.29,2418
2021-11-19,20.305,20.305,20.3,20.3,257
2021-11-19,20.295,20.305,20.29,20.3,800
2021-11-19,20.3,20.305,20.28,20.28,2020
2021-11-19,20.29,20.29,20.29,20.29,879
2021-11-19,20.3,20.305,20.3,20.3,889
2021-11-19,20.295,20.295,20.295,20.295,100
2021-11-19,20.31,20.31,20.29,20.295,1046
2021-11-19,20.305,20.305,20.3,20.3,1160
2021-11-19,20.305,20.305,20.305,20.305,100
2021-11-19,20.315,20.315,20.315,20.315,400
2021-11-19,20.305,20.305,20.305,20.305,664
2021-11-19,20.315,20.33,20.315,20.325,1714
2021-11-19,20.335,20.335,20.325,20.325,1770
2021-11-19,20.32,20.32,20.32,20.32,122
2021-11-19,20.31,20.31,20.305,20.305,900
2021-11-19,20.315,20.325,20.315,20.32,762
2021-11-19,20.315,20.315,20.315,20.315,538
2021-11-19,20.325,20.325,20.31,20.315,523
2021-11-19,20.315,20.315,20.31,20.315,900
2021-11-19,20.315,20.315,20.305,20.305,764
2021-11-19,20.315,20.315,20.305,20.315,530
2021-11-19,20.315,20.315,20.305,20.305,1192
2021-11-19,20.3,20.3,20.285,20.285,415
2021-11-19,20.295,20.295,20.275,20.275,1100
2021-11-19,20.28,20.28,20.28,20.28,101
2021-11-19,20.28,20.285,20.275,20.275,673
2021-11-19,20.275,20.285,20.275,20.285,1500
2021-11-19,20.295,20.295,20.29,20.295,604
2021-11-19,20.295,20.295,20.285,20.285,475
2021-11-19,20.285,20.285,20.25,20.25,1930
2021-11-19,20.25,20.25,20.235,20.235,1605
2021-11-19,20.255,20.255,20.255,20.255,200
2021-11-19,20.25,20.25,20.25,20.25,300
2021-11-19,20.245,20.245,20.245,20.245,115
2021-11-19,20.245,20.245,20.245,20.245,500
2021-11-19,20.25,20.265,20.25,20.265,810
2021-11-19,20.275,20.29,20.275,20.29,710
2021-11-19,20.29,20.305,20.29,20.305,922
2021-11-19,20.28,20.28,20.27,20.27,722
2021-11-19,20.25,20.26,20.25,20.26,1654
2021-11-19,20.265,20.275,20.265,20.275,900
2021-11-19,20.275,20.275,20.27,20.27,619
2021-11-19,20.265,20.265,20.265,20.265,161
2021-11-19,20.28,20.28,20.27,20.27,854
2021-11-19,20.275,20.29,20.275,20.29,810
2021-11-19,20.285,20.31,20.285,20.31,1557
2021-11-19,20.305,20.32,20.305,20.32,1764
2021-11-19,20.325,20.335,20.325,20.33,840
2021-11-19,20.33,20.33,20.32,20.33,1810
2021-11-19,20.335,20.36,20.335,20.35,1362
2021-11-19,20.35,20.35,20.35,20.35,1110
2021-11-19,20.35,20.355,20.35,20.355,607
2021-11-19,20.355,20.355,20.34,20.35,602
2021-11-19,20.35,20.35,20.335,20.335,1002
2021-11-19,20.33,20.335,20.33,20.33,333
2021-11-19,20.325,20.345,20.325,20.345,743
2021-11-19,20.345,20.355,20.345,20.345,1135
2021-11-19,20.355,20.36,20.355,20.355,1122
2021-11-19,20.355,20.365,20.355,20.355,2042
2021-11-19,20.33,20.335,20.33,20.33,700
2021-11-19,20.325,20.325,20.315,20.325,3500
2021-11-19,20.325,20.325,20.325,20.325,200
2021-11-19,20.325,20.325,20.305,20.305,1154
2021-11-19,20.315,20.315,20.315,20.315,362
2021-11-19,20.31,20.325,20.31,20.325,972
2021-11-19,20.32,20.32,20.32,20.32,700
2021-11-19,20.325,20.335,20.325,20.335,400
2021-11-19,20.35,20.35,20.33,20.335,2776
2021-11-19,20.34,20.355,20.34,20.355,467
2021-11-19,20.365,20.365,20.355,20.355,2355
2021-11-19,20.355,20.355,20.35,20.355,3300
2021-11-19,20.345,20.36,20.34,20.36,754
2021-11-19,20.355,20.355,20.34,20.34,1755
2021-11-19,20.335,20.335,20.32,20.325,2529
2021-11-19,20.33,20.34,20.33,20.33,1456
2021-11-19,20.335,20.335,20.33,20.33,1265
2021-11-19,20.335,20.34,20.335,20.34,2659
2021-11-19,20.34,20.355,20.34,20.355,1559
2021-11-19,20.37,20.375,20.37,20.375,600
2021-11-19,20.365,20.39,20.365,20.39,1306
2021-11-19,20.385,20.395,20.385,20.39,2097
2021-11-19,20.385,20.385,20.375,20.375,3166
2021-11-19,20.385,20.385,20.375,20.385,949
2021-11-19,20.385,20.395,20.385,20.385,1225
2021-11-19,20.385,20.385,20.37,20.37,1501
2021-11-19,20.375,20.38,20.355,20.36,1865
2021-11-19,20.355,20.355,20.325,20.325,4492
2021-11-19,20.335,20.335,20.335,20.335,1248
2021-11-19,20.33,20.345,20.33,20.345,1463
2021-11-19,20.345,20.375,20.345,20.375,2253
2021-11-19,20.38,20.385,20.38,20.385,1710
2021-11-19,20.395,20.395,20.395,20.395,1930
2021-11-19,20.405,20.42,20.405,20.415,3740
2021-11-19,20.415,20.415,20.395,20.395,3866
2021-11-19,20.405,20.405,20.38,20.385,1796
2021-11-19,20.385,20.405,20.385,20.405,3410
2021-11-19,20.405,20.415,20.405,20.415,3200
2021-11-19,20.41,20.415,20.41,20.415,2802
2021-11-19,20.415,20.415,20.41,20.415,4297
2021-11-19,20.425,20.425,20.42,20.425,2611
2021-11-19,20.425,20.45,20.425,20.445,3369
2021-11-19,20.45,20.455,20.445,20.455,3410
2021-11-19,20.455,20.465,20.455,20.455,1300
2021-11-19,20.455,20.455,20.43,20.43,7104
2021-11-19,20.425,20.455,20.425,20.455,6396
2021-11-19,20.46,20.47,20.455,20.455,5947
2021-11-19,20.465,20.475,20.465,20.465,1858
2021-11-19,20.465,20.465,20.455,20.465,1510
2021-11-19,20.465,20.47,20.455,20.465,5531
2021-11-19,20.465,20.465,20.455,20.455,6552
2021-11-19,20.455,20.475,20.455,20.475,8560
2021-11-19,20.475,20.505,20.475,20.505,5965
2021-11-19,20.505,20.51,20.495,20.495,7173
2021-11-19,20.495,20.495,20.46,20.475,18548
2021-11-19,20.47,20.49,20.465,20.48,9121
2021-11-22,20.43,20.455,20.39,20.4,5854
2021-11-22,20.37,20.37,20.365,20.365,713
