Date,Open,High,Low,Close,Volume
2021-11-18,2.075,2.075,2.075,2.075,1800
2021-11-18,2.08,2.08,2.075,2.075,1300
2021-11-18,2.075,2.08,2.075,2.075,2970
2021-11-18,2.075,2.075,2.075,2.075,100
2021-11-18,2.075,2.075,2.075,2.075,1200
2021-11-18,2.075,2.075,2.075,2.075,200
2021-11-18,2.075,2.075,2.07,2.07,2440
2021-11-18,2.07,2.075,2.07,2.075,4402
2021-11-18,2.075,2.075,2.07,2.075,3300
2021-11-18,2.075,2.075,2.07,2.075,4400
2021-11-18,2.075,2.075,2.07,2.075,4400
2021-11-18,2.075,2.075,2.07,2.075,4100
2021-11-18,2.075,2.075,2.07,2.07,3900
2021-11-18,2.07,2.075,2.07,2.07,2100
2021-11-18,2.07,2.07,2.07,2.07,300
2021-11-18,2.065,2.065,2.065,2.065,4270
2021-11-18,2.065,2.065,2.065,2.065,8425
2021-11-18,2.065,2.065,2.065,2.065,3200
2021-11-18,2.065,2.065,2.065,2.065,3128
2021-11-18,2.065,2.065,2.065,2.065,2200
2021-11-18,2.065,2.065,2.065,2.065,2200
2021-11-18,2.065,2.065,2.065,2.065,2000
2021-11-18,2.065,2.065,2.065,2.065,2000
2021-11-18,2.065,2.065,2.065,2.065,2100
2021-11-18,2.065,2.065,2.065,2.065,15000
2021-11-18,2.065,2.065,2.065,2.065,5800
2021-11-18,2.065,2.065,2.065,2.065,2800
2021-11-18,2.065,2.065,2.065,2.065,2200
2021-11-18,2.065,2.065,2.065,2.065,2800
2021-11-18,2.065,2.065,2.065,2.065,2900
2021-11-18,2.065,2.075,2.065,2.075,15570
2021-11-18,2.08,2.085,2.08,2.085,4100
2021-11-18,2.085,2.085,2.085,2.085,600
2021-11-18,2.085,2.085,2.085,2.085,1200
2021-11-18,2.085,2.09,2.085,2.09,1500
2021-11-18,2.09,2.09,2.085,2.085,6770
2021-11-18,2.085,2.085,2.085,2.085,4340
2021-11-18,2.085,2.085,2.085,2.085,4470
2021-11-18,2.085,2.085,2.085,2.085,2500
2021-11-18,2.085,2.085,2.085,2.085,3470
2021-11-18,2.085,2.085,2.085,2.085,3380
2021-11-18,2.085,2.085,2.085,2.085,1490
2021-11-18,2.085,2.09,2.085,2.085,2000
2021-11-18,2.085,2.085,2.085,2.085,1340
2021-11-18,2.08,2.085,2.08,2.085,8251
2021-11-18,2.08,2.085,2.08,2.085,4800
2021-11-18,2.085,2.085,2.08,2.085,8474
2021-11-18,2.08,2.085,2.08,2.085,4250
2021-11-18,2.085,2.085,2.08,2.085,15720
2021-11-18,2.085,2.085,2.08,2.08,9870
2021-11-18,2.085,2.085,2.08,2.085,5360
2021-11-18,2.085,2.085,2.08,2.08,6990
2021-11-18,2.085,2.085,2.08,2.085,12600
2021-11-18,2.08,2.085,2.075,2.075,5900
2021-11-18,2.075,2.075,2.07,2.07,6500
2021-11-18,2.07,2.075,2.07,2.075,15885
2021-11-18,2.075,2.075,2.065,2.065,7400
2021-11-18,2.065,2.065,2.065,2.065,6400
2021-11-18,2.065,2.065,2.065,2.065,3800
2021-11-18,2.065,2.065,2.06,2.065,3900
2021-11-18,2.06,2.065,2.06,2.065,10925
2021-11-18,2.065,2.065,2.06,2.065,8870
2021-11-18,2.06,2.065,2.06,2.065,6146
2021-11-18,2.065,2.065,2.06,2.065,8150
2021-11-18,2.065,2.065,2.06,2.065,7910
2021-11-18,2.065,2.065,2.06,2.065,28600
2021-11-18,2.065,2.07,2.065,2.065,860
2021-11-18,2.065,2.075,2.065,2.075,11740
2021-11-18,2.075,2.08,2.075,2.075,17100
2021-11-18,2.075,2.075,2.075,2.075,14260
2021-11-18,2.075,2.08,2.075,2.08,14698
2021-11-18,2.08,2.08,2.07,2.07,6045
2021-11-19,2.1,2.1,2.1,2.1,200
2021-11-19,2.09,2.09,2.09,2.09,200
2021-11-19,2.11,2.11,2.11,2.11,400
2021-11-19,2.11,2.11,2.11,2.11,200
2021-11-19,2.13,2.13,2.13,2.13,400
2021-11-19,2.13,2.13,2.13,2.13,200
2021-11-19,2.13,2.13,2.13,2.13,300
2021-11-19,2.12,2.12,2.12,2.12,331
2021-11-19,2.12,2.12,2.12,2.12,655
2021-11-19,2.12,2.12,2.12,2.12,100
2021-11-19,2.12,2.16,2.12,2.16,7300
2021-11-19,2.17,2.18,2.17,2.18,2550
2021-11-19,2.18,2.185,2.18,2.18,1200
2021-11-19,2.18,2.195,2.18,2.185,9378
2021-11-19,2.185,2.185,2.175,2.175,1360
2021-11-19,2.175,2.175,2.16,2.16,2318
2021-11-19,2.16,2.18,2.16,2.18,4300
2021-11-19,2.185,2.19,2.185,2.185,4201
2021-11-19,2.185,2.185,2.185,2.185,1000
2021-11-19,2.175,2.185,2.17,2.185,3325
2021-11-19,2.19,2.21,2.19,2.21,5434
2021-11-19,2.21,2.21,2.21,2.21,3507
2021-11-19,2.21,2.21,2.195,2.2,7363
2021-11-19,2.19,2.195,2.19,2.195,400
2021-11-19,2.195,2.205,2.195,2.195,17310
2021-11-19,2.195,2.195,2.195,2.195,3500
2021-11-19,2.19,2.195,2.19,2.195,1072
2021-11-19,2.195,2.195,2.18,2.18,2870
2021-11-19,2.18,2.185,2.18,2.18,486
2021-11-19,2.185,2.185,2.175,2.175,700
2021-11-19,2.175,2.175,2.16,2.16,12090
2021-11-19,2.155,2.165,2.155,2.165,8113
2021-11-19,2.17,2.17,2.17,2.17,900
2021-11-19,2.175,2.175,2.17,2.175,1175
2021-11-19,2.175,2.175,2.175,2.175,400
2021-11-19,2.175,2.18,2.175,2.18,335
2021-11-19,2.175,2.175,2.17,2.17,1125
2021-11-19,2.175,2.175,2.17,2.17,2100
2021-11-19,2.175,2.175,2.165,2.165,3726
2021-11-19,2.165,2.165,2.16,2.165,600
2021-11-19,2.165,2.17,2.165,2.165,900
2021-11-19,2.165,2.17,2.165,2.165,5200
2021-11-19,2.165,2.165,2.165,2.165,401
2021-11-19,2.17,2.18,2.165,2.18,400
2021-11-19,2.175,2.175,2.17,2.17,2600
2021-11-19,2.175,2.175,2.165,2.165,1300
2021-11-19,2.165,2.175,2.165,2.175,918
2021-11-19,2.17,2.175,2.165,2.175,4160
2021-11-19,2.175,2.175,2.175,2.175,300
2021-11-19,2.175,2.175,2.175,2.175,100
2021-11-19,2.175,2.185,2.175,2.185,1706
2021-11-19,2.185,2.195,2.185,2.19,1534
2021-11-19,2.195,2.205,2.195,2.205,975
2021-11-19,2.195,2.195,2.185,2.185,5635
2021-11-19,2.185,2.185,2.18,2.185,4100
2021-11-19,2.185,2.185,2.18,2.185,1200
2021-11-19,2.185,2.19,2.18,2.185,15971
2021-11-19,2.185,2.19,2.18,2.185,8378
2021-11-19,2.185,2.185,2.18,2.185,1300
2021-11-19,2.185,2.185,2.18,2.185,3300
2021-11-19,2.185,2.185,2.175,2.175,7800
2021-11-19,2.175,2.175,2.175,2.175,1400
2021-11-19,2.175,2.18,2.175,2.175,4487
2021-11-19,2.175,2.175,2.16,2.16,1700
2021-11-19,2.165,2.165,2.16,2.165,5400
2021-11-19,2.165,2.165,2.16,2.165,7110
2021-11-19,2.165,2.165,2.165,2.165,17006
2021-11-19,2.165,2.165,2.165,2.165,67350
2021-11-19,2.165,2.165,2.16,2.165,4901
2021-11-19,2.165,2.165,2.165,2.165,29200
2021-11-19,2.165,2.165,2.165,2.165,2740
2021-11-19,2.165,2.165,2.165,2.165,3100
2021-11-19,2.165,2.165,2.165,2.165,2500
2021-11-19,2.165,2.165,2.165,2.165,2000
2021-11-19,2.165,2.165,2.165,2.165,2200
2021-11-19,2.165,2.165,2.165,2.165,1500
2021-11-19,2.165,2.165,2.165,2.165,3600
2021-11-19,2.165,2.165,2.165,2.165,2201
2021-11-19,2.165,2.165,2.155,2.155,2111
2021-11-19,2.155,2.155,2.155,2.155,4100
2021-11-19,2.155,2.155,2.155,2.155,700
2021-11-19,2.155,2.155,2.155,2.155,700
2021-11-19,2.155,2.155,2.155,2.155,700
2021-11-19,2.155,2.155,2.155,2.155,7000
2021-11-19,2.155,2.155,2.155,2.155,600
2021-11-19,2.155,2.155,2.155,2.155,1300
2021-11-19,2.155,2.155,2.155,2.155,5100
2021-11-19,2.155,2.155,2.14,2.145,15500
2021-11-19,2.145,2.145,2.145,2.145,1500
2021-11-19,2.145,2.145,2.145,2.145,600
2021-11-19,2.145,2.145,2.145,2.145,1700
2021-11-19,2.145,2.145,2.145,2.145,1400
2021-11-19,2.145,2.145,2.145,2.145,6710
2021-11-19,2.145,2.145,2.145,2.145,1300
2021-11-19,2.145,2.145,2.14,2.14,2600
2021-11-19,2.145,2.145,2.14,2.14,2202
2021-11-19,2.135,2.135,2.135,2.135,1270
2021-11-19,2.135,2.135,2.135,2.135,2660
2021-11-19,2.135,2.145,2.135,2.145,10971
2021-11-19,2.15,2.15,2.145,2.145,9000
2021-11-19,2.145,2.145,2.145,2.145,2214
2021-11-19,2.145,2.145,2.145,2.145,4000
2021-11-19,2.145,2.145,2.145,2.145,400
2021-11-19,2.145,2.15,2.145,2.145,3580
2021-11-19,2.145,2.145,2.145,2.145,1100
2021-11-19,2.145,2.145,2.145,2.145,970
2021-11-19,2.145,2.145,2.145,2.145,570
2021-11-19,2.145,2.15,2.145,2.145,1800
2021-11-19,2.15,2.15,2.145,2.145,2400
2021-11-19,2.145,2.145,2.145,2.145,600
2021-11-19,2.15,2.15,2.145,2.145,3700
2021-11-19,2.15,2.15,2.145,2.15,1300
2021-11-19,2.155,2.16,2.155,2.155,5660
2021-11-19,2.155,2.165,2.155,2.165,7600
2021-11-19,2.165,2.165,2.16,2.16,1704
2021-11-19,2.145,2.145,2.145,2.145,1400
2021-11-19,2.145,2.145,2.145,2.145,1300
2021-11-19,2.145,2.145,2.145,2.145,1600
2021-11-19,2.145,2.145,2.145,2.145,170
2021-11-19,2.145,2.145,2.145,2.145,2200
2021-11-19,2.145,2.145,2.145,2.145,2700
2021-11-19,2.145,2.145,2.13,2.135,1800
2021-11-19,2.135,2.135,2.13,2.135,3300
2021-11-19,2.135,2.135,2.135,2.135,1100
2021-11-19,2.135,2.135,2.135,2.135,1000
2021-11-19,2.135,2.135,2.135,2.135,1370
2021-11-19,2.135,2.135,2.135,2.135,640
2021-11-19,2.135,2.135,2.135,2.135,1370
2021-11-19,2.135,2.135,2.135,2.135,1550
2021-11-19,2.135,2.135,2.135,2.135,500
2021-11-19,2.135,2.135,2.135,2.135,1000
2021-11-19,2.135,2.135,2.135,2.135,4920
