Date,Open,High,Low,Close,Volume
2021-11-19,19.455,19.455,19.455,19.455,3054
2021-11-19,19.455,19.455,19.445,19.455,4465
2021-11-19,19.455,19.465,19.455,19.465,4955
2021-11-19,19.47,19.475,19.47,19.475,3003
2021-11-19,19.48,19.485,19.48,19.485,4902
2021-11-19,19.465,19.465,19.465,19.465,1100
2021-11-19,19.47,19.475,19.465,19.465,7014
2021-11-19,19.455,19.455,19.455,19.455,4750
2021-11-19,19.455,19.475,19.455,19.465,2112
2021-11-19,19.465,19.475,19.465,19.475,5136
2021-11-19,19.475,19.475,19.475,19.475,1711
2021-11-19,19.47,19.475,19.455,19.455,7962
2021-11-19,19.45,19.465,19.45,19.465,800
2021-11-19,19.465,19.465,19.455,19.455,610
2021-11-19,19.45,19.45,19.445,19.445,5689
2021-11-19,19.445,19.485,19.445,19.485,5172
2021-11-19,19.485,19.49,19.485,19.485,3110
2021-11-19,19.485,19.485,19.485,19.485,1280
2021-11-19,19.485,19.495,19.485,19.495,6323
2021-11-19,19.5,19.515,19.5,19.505,4360
2021-11-19,19.515,19.515,19.5,19.515,3100
2021-11-19,19.515,19.535,19.51,19.51,5711
2021-11-19,19.51,19.515,19.505,19.505,3177
2021-11-19,19.505,19.525,19.505,19.515,6701
2021-11-19,19.515,19.515,19.505,19.505,4263
2021-11-19,19.505,19.51,19.495,19.495,2633
2021-11-19,19.495,19.495,19.495,19.495,2948
2021-11-19,19.485,19.485,19.465,19.465,3144
2021-11-19,19.465,19.465,19.465,19.465,3539
2021-11-19,19.465,19.475,19.465,19.475,6760
2021-11-19,19.47,19.475,19.465,19.475,8935
2021-11-19,19.475,19.485,19.475,19.485,1900
2021-11-19,19.485,19.485,19.485,19.485,5799
2021-11-19,19.485,19.485,19.475,19.475,3064
2021-11-19,19.485,19.495,19.485,19.495,6982
2021-11-19,19.5,19.505,19.5,19.505,2373
2021-11-19,19.505,19.505,19.495,19.495,3422
2021-11-19,19.495,19.495,19.495,19.495,3100
