Date,Open,High,Low,Close,Volume
2021-11-19,31.585,31.585,31.58,31.585,2850
2021-11-19,31.59,31.59,31.58,31.585,611
2021-11-19,31.595,31.595,31.595,31.595,451
2021-11-19,31.6,31.6,31.575,31.58,2682
2021-11-19,31.58,31.595,31.58,31.595,2380
2021-11-19,31.595,31.605,31.595,31.605,820
2021-11-19,31.61,31.61,31.605,31.605,428
2021-11-19,31.625,31.625,31.625,31.625,200
2021-11-19,31.625,31.625,31.625,31.625,810
2021-11-19,31.625,31.63,31.56,31.57,2073
2021-11-19,31.57,31.57,31.57,31.57,125
2021-11-19,31.56,31.56,31.56,31.56,230
2021-11-19,31.56,31.56,31.56,31.56,200
2021-11-19,31.565,31.565,31.565,31.565,482
2021-11-19,31.565,31.565,31.565,31.565,396
2021-11-19,31.56,31.565,31.56,31.565,376
2021-11-19,31.53,31.53,31.45,31.45,1388
2021-11-19,31.46,31.475,31.44,31.44,1351
2021-11-19,31.45,31.45,31.45,31.45,138
2021-11-19,31.45,31.45,31.44,31.445,1479
2021-11-19,31.445,31.445,31.445,31.445,200
2021-11-19,31.445,31.445,31.445,31.445,256
2021-11-19,31.415,31.415,31.41,31.41,1433
2021-11-19,31.41,31.41,31.39,31.39,782
2021-11-19,31.385,31.39,31.37,31.39,865
2021-11-19,31.39,31.395,31.39,31.39,1705
2021-11-19,31.39,31.4,31.38,31.4,1600
2021-11-19,31.4,31.41,31.39,31.41,928
2021-11-19,31.39,31.39,31.345,31.345,2130
2021-11-19,31.335,31.335,31.335,31.335,428
2021-11-19,31.325,31.325,31.315,31.315,1572
2021-11-19,31.305,31.305,31.305,31.305,300
2021-11-19,31.3,31.3,31.29,31.29,1183
2021-11-19,31.29,31.295,31.28,31.295,1156
2021-11-19,31.385,31.385,31.37,31.37,300
2021-11-19,31.365,31.365,31.365,31.365,225
2021-11-19,31.36,31.36,31.36,31.36,100
2021-11-19,31.365,31.365,31.345,31.345,435
2021-11-19,31.335,31.335,31.335,31.335,200
2021-11-19,31.335,31.335,31.335,31.335,102
2021-11-19,31.325,31.34,31.325,31.34,674
2021-11-19,31.35,31.35,31.35,31.35,147
2021-11-19,31.36,31.36,31.33,31.33,618
2021-11-19,31.34,31.34,31.33,31.335,1660
2021-11-19,31.325,31.33,31.32,31.325,2260
2021-11-19,31.335,31.335,31.305,31.305,1426
2021-11-19,31.305,31.31,31.305,31.31,200
2021-11-19,31.32,31.32,31.315,31.315,474
2021-11-19,31.325,31.35,31.325,31.35,649
2021-11-19,31.355,31.36,31.325,31.325,495
2021-11-19,31.34,31.34,31.34,31.34,357
2021-11-19,31.325,31.33,31.32,31.33,1084
2021-11-19,31.34,31.34,31.34,31.34,203
2021-11-19,31.345,31.345,31.3,31.3,1553
2021-11-19,31.25,31.25,31.25,31.25,446
2021-11-19,31.27,31.27,31.27,31.27,502
2021-11-19,31.27,31.29,31.265,31.29,1000
2021-11-19,31.3,31.3,31.3,31.3,493
2021-11-19,31.31,31.31,31.31,31.31,223
2021-11-19,31.305,31.31,31.305,31.305,362
2021-11-19,31.31,31.31,31.31,31.31,203
2021-11-19,31.31,31.31,31.31,31.31,200
2021-11-19,31.345,31.345,31.345,31.345,108
2021-11-19,31.33,31.33,31.33,31.33,464
2021-11-19,31.345,31.345,31.345,31.345,100
2021-11-19,31.36,31.36,31.36,31.36,107
2021-11-19,31.34,31.34,31.34,31.34,194
2021-11-19,31.325,31.325,31.325,31.325,100
2021-11-19,31.325,31.325,31.325,31.325,150
2021-11-19,31.325,31.325,31.325,31.325,411
2021-11-19,31.33,31.35,31.33,31.35,988
2021-11-19,31.35,31.36,31.35,31.355,604
2021-11-19,31.345,31.35,31.345,31.35,204
2021-11-19,31.345,31.345,31.345,31.345,500
2021-11-19,31.305,31.305,31.305,31.305,181
2021-11-19,31.31,31.31,31.305,31.305,929
2021-11-19,31.31,31.31,31.31,31.31,320
2021-11-19,31.32,31.32,31.32,31.32,110
2021-11-19,31.33,31.33,31.33,31.33,300
2021-11-19,31.32,31.32,31.305,31.305,546
2021-11-19,31.3,31.3,31.28,31.28,966
2021-11-19,31.28,31.28,31.26,31.26,880
2021-11-19,31.25,31.25,31.23,31.24,587
2021-11-19,31.235,31.24,31.23,31.24,1196
2021-11-19,31.22,31.23,31.22,31.23,726
2021-11-19,31.23,31.23,31.23,31.23,640
2021-11-19,31.235,31.235,31.225,31.23,1407
2021-11-19,31.22,31.24,31.22,31.24,905
2021-11-19,31.245,31.25,31.245,31.25,623
2021-11-19,31.255,31.27,31.25,31.25,1473
2021-11-19,31.26,31.3,31.26,31.3,985
2021-11-19,31.28,31.28,31.27,31.28,1000
2021-11-19,31.29,31.31,31.29,31.31,700
2021-11-19,31.32,31.32,31.32,31.32,866
2021-11-19,31.31,31.33,31.31,31.33,651
2021-11-19,31.34,31.34,31.32,31.32,1469
2021-11-19,31.33,31.35,31.33,31.35,520
2021-11-19,31.36,31.37,31.36,31.36,911
2021-11-19,31.36,31.36,31.36,31.36,100
2021-11-19,31.35,31.35,31.35,31.35,125
2021-11-19,31.345,31.35,31.345,31.35,324
2021-11-19,31.36,31.38,31.35,31.35,2074
2021-11-19,31.35,31.36,31.35,31.36,415
2021-11-19,31.37,31.38,31.37,31.38,300
2021-11-19,31.38,31.4,31.38,31.4,1090
2021-11-19,31.4,31.4,31.385,31.385,625
2021-11-19,31.385,31.385,31.37,31.37,774
2021-11-19,31.365,31.37,31.35,31.35,1366
2021-11-19,31.34,31.345,31.34,31.345,580
2021-11-19,31.35,31.35,31.34,31.34,2189
2021-11-19,31.335,31.34,31.32,31.32,1745
2021-11-19,31.32,31.33,31.31,31.31,2721
2021-11-19,31.285,31.29,31.285,31.29,1712
2021-11-19,31.29,31.315,31.29,31.31,5134
2021-11-19,31.325,31.325,31.315,31.315,1666
2021-11-19,31.315,31.345,31.315,31.345,2922
2021-11-19,31.34,31.345,31.325,31.345,3007
2021-11-19,31.345,31.38,31.345,31.37,2039
2021-11-19,31.37,31.38,31.365,31.37,1639
2021-11-19,31.365,31.37,31.345,31.345,2827
2021-11-19,31.34,31.345,31.335,31.345,2365
2021-11-19,31.35,31.355,31.345,31.355,3447
2021-11-19,31.355,31.36,31.345,31.345,5202
2021-11-19,31.335,31.35,31.335,31.345,6072
2021-11-19,31.355,31.38,31.355,31.375,7376
2021-11-19,31.38,31.415,31.375,31.405,6483
2021-11-19,31.405,31.42,31.405,31.415,5903
2021-11-19,31.415,31.455,31.405,31.455,16082
2021-11-22,31.6,31.68,31.535,31.68,2133
2021-11-22,31.67,31.67,31.66,31.66,230
2021-11-22,31.63,31.63,31.56,31.56,613
2021-11-22,31.61,31.61,31.555,31.57,1799
2021-11-22,31.52,31.52,31.51,31.51,302
2021-11-22,31.54,31.54,31.54,31.54,120
2021-11-22,31.42,31.47,31.415,31.47,760
2021-11-22,31.435,31.435,31.435,31.435,120
2021-11-22,31.59,31.615,31.57,31.59,690
2021-11-22,31.57,31.57,31.57,31.57,241
2021-11-22,31.535,31.55,31.53,31.53,928
2021-11-22,31.55,31.58,31.55,31.58,406
2021-11-22,31.62,31.65,31.62,31.65,400
2021-11-22,31.64,31.645,31.64,31.645,503
2021-11-22,31.66,31.66,31.66,31.66,527
2021-11-22,31.665,31.7,31.665,31.7,300
2021-11-22,31.72,31.77,31.72,31.77,700
2021-11-22,31.785,31.805,31.785,31.805,500
2021-11-22,31.71,31.71,31.71,31.71,302
2021-11-22,31.73,31.74,31.73,31.74,800
2021-11-22,31.8,31.89,31.8,31.89,1409
2021-11-22,31.87,31.91,31.865,31.89,1561
2021-11-22,31.87,31.93,31.87,31.92,1400
2021-11-22,31.89,31.89,31.89,31.89,209
2021-11-22,31.88,31.9,31.88,31.9,931
2021-11-22,31.9,31.9,31.9,31.9,100
2021-11-22,31.925,31.93,31.925,31.93,1142
2021-11-22,31.965,32.005,31.965,31.99,3082
2021-11-22,31.97,32.03,31.97,32.03,910
2021-11-22,32.05,32.065,32.035,32.035,1142
2021-11-22,32.02,32.07,32.02,32.06,2265
2021-11-22,32.07,32.07,32.03,32.07,6292
2021-11-22,32.06,32.06,32.04,32.04,780
2021-11-22,32.025,32.025,32.025,32.025,509
2021-11-22,32.02,32.03,32.005,32.03,868
2021-11-22,32.01,32.01,32.01,32.01,583
2021-11-22,32.015,32.045,32.005,32.045,1348
