Date,Open,High,Low,Close,Volume
2021-11-17,4.095,4.095,4.095,4.095,5400
2021-11-17,4.095,4.095,4.095,4.095,1000
2021-11-17,4.095,4.095,4.095,4.095,700
2021-11-17,4.105,4.105,4.105,4.105,200
2021-11-17,4.105,4.105,4.105,4.105,279
2021-11-17,4.105,4.105,4.105,4.105,200
2021-11-17,4.105,4.105,4.105,4.105,100
2021-11-17,4.095,4.095,4.095,4.095,200
2021-11-17,4.095,4.095,4.095,4.095,800
2021-11-17,4.095,4.095,4.095,4.095,1200
2021-11-17,4.095,4.095,4.095,4.095,1300
2021-11-17,4.095,4.095,4.095,4.095,1400
2021-11-17,4.095,4.095,4.09,4.095,1300
2021-11-17,4.09,4.095,4.09,4.095,10100
2021-11-17,4.095,4.095,4.095,4.095,600
2021-11-17,4.095,4.095,4.095,4.095,500
2021-11-17,4.095,4.095,4.095,4.095,700
2021-11-17,4.095,4.095,4.095,4.095,700
2021-11-17,4.095,4.095,4.095,4.095,800
2021-11-17,4.095,4.095,4.095,4.095,900
2021-11-17,4.095,4.095,4.095,4.095,1600
2021-11-17,4.095,4.095,4.095,4.095,600
2021-11-17,4.095,4.095,4.095,4.095,3300
2021-11-17,4.095,4.095,4.095,4.095,9250
2021-11-17,4.095,4.095,4.09,4.09,1400
2021-11-17,4.09,4.09,4.085,4.085,10850
2021-11-17,4.085,4.085,4.085,4.085,600
2021-11-17,4.085,4.085,4.085,4.085,400
2021-11-17,4.085,4.085,4.085,4.085,250
2021-11-17,4.085,4.085,4.085,4.085,1750
2021-11-17,4.09,4.095,4.085,4.095,4100
2021-11-17,4.095,4.095,4.095,4.095,600
2021-11-17,4.095,4.095,4.095,4.095,5000
2021-11-17,4.095,4.095,4.095,4.095,9200
2021-11-17,4.095,4.095,4.095,4.095,7800
2021-11-17,4.095,4.095,4.09,4.095,19000
2021-11-17,4.095,4.1,4.09,4.1,6253
2021-11-18,4.04,4.04,4.04,4.04,100
2021-11-18,4.035,4.035,4.035,4.035,650
2021-11-18,4.05,4.05,4.045,4.045,610
2021-11-18,4.055,4.055,4.055,4.055,210
2021-11-18,4.045,4.055,4.045,4.055,400
2021-11-18,4.05,4.05,4.05,4.05,500
2021-11-18,4.045,4.045,4.035,4.04,1400
2021-11-18,4.035,4.035,4.035,4.035,1675
2021-11-18,4.035,4.035,4.035,4.035,271
2021-11-18,4.035,4.035,4.035,4.035,989
2021-11-18,4.045,4.045,4.045,4.045,1120
2021-11-18,4.04,4.04,4.04,4.04,9200
2021-11-18,4.03,4.03,4.025,4.025,400
2021-11-18,4.03,4.03,4.025,4.03,1800
2021-11-18,4.03,4.035,4.03,4.035,900
2021-11-18,4.02,4.02,4.02,4.02,100
2021-11-18,4.02,4.02,4.02,4.02,500
2021-11-18,4.015,4.015,4.01,4.01,7652
2021-11-18,4.015,4.02,4.015,4.02,1070
2021-11-18,4.01,4.01,4.01,4.01,1400
2021-11-18,4.01,4.01,4.01,4.01,489
2021-11-18,4.005,4.005,4.005,4.005,200
2021-11-18,4.005,4.005,4.005,4.005,800
2021-11-18,3.985,3.995,3.985,3.995,200
2021-11-18,3.99,3.99,3.99,3.99,200
2021-11-18,3.99,3.99,3.99,3.99,2408
2021-11-18,3.985,3.985,3.985,3.985,410
2021-11-18,3.98,3.98,3.975,3.975,1000
2021-11-18,3.975,3.975,3.975,3.975,100
2021-11-18,3.97,3.97,3.97,3.97,300
2021-11-18,3.97,3.97,3.97,3.97,800
2021-11-18,3.98,3.98,3.98,3.98,100
2021-11-18,3.99,3.99,3.985,3.99,801
2021-11-18,3.99,3.99,3.99,3.99,200
2021-11-18,3.985,3.985,3.985,3.985,2088
2021-11-18,3.99,3.99,3.99,3.99,300
2021-11-18,4,4,4,4,569
2021-11-18,4,4.005,4,4.005,600
2021-11-18,3.995,4,3.995,4,700
2021-11-18,4.01,4.02,4.01,4.02,8700
2021-11-18,4.01,4.01,4.005,4.005,1300
2021-11-18,4.005,4.005,4.005,4.005,200
2021-11-18,4.005,4.005,4.005,4.005,200
2021-11-18,4.005,4.005,4.005,4.005,212
2021-11-18,4.005,4.005,4.005,4.005,100
2021-11-18,4,4,4,4,38200
2021-11-18,3.995,3.995,3.99,3.99,10176
2021-11-18,3.995,3.995,3.995,3.995,30050
2021-11-18,3.995,4,3.995,3.995,12248
2021-11-18,3.995,3.995,3.995,3.995,12020
2021-11-18,3.995,3.995,3.995,3.995,28023
2021-11-18,3.995,3.995,3.995,3.995,32903
2021-11-18,4,4,4,4,47300
2021-11-18,4,4,4,4,2325
2021-11-18,4.005,4.005,4.005,4.005,6400
2021-11-18,3.995,3.995,3.995,3.995,42211
2021-11-18,3.995,3.995,3.995,3.995,220
2021-11-18,3.99,3.995,3.99,3.99,3233
2021-11-18,3.995,3.995,3.995,3.995,130
2021-11-18,3.99,3.99,3.99,3.99,100
2021-11-18,3.995,3.995,3.995,3.995,170
2021-11-18,3.985,3.985,3.985,3.985,17151
2021-11-18,3.995,3.995,3.995,3.995,100
2021-11-18,4.005,4.005,4.005,4.005,100
2021-11-18,4,4,4,4,16200
2021-11-18,4,4,3.995,3.995,64494
2021-11-18,3.995,3.995,3.995,3.995,500
2021-11-18,4.01,4.01,4.01,4.01,884
2021-11-18,4,4,4,4,56385
2021-11-18,4,4,4,4,734
2021-11-18,3.995,4,3.995,4,1077
2021-11-18,4.005,4.005,4,4,27150
2021-11-18,4,4,4,4,500
2021-11-18,4,4,4,4,3037
2021-11-18,4,4,3.995,3.995,7407
2021-11-18,3.995,3.995,3.995,3.995,6700
2021-11-18,3.995,3.995,3.99,3.99,11130
2021-11-18,3.985,3.985,3.985,3.985,100
2021-11-18,3.985,3.985,3.98,3.98,5040
2021-11-18,3.985,3.985,3.985,3.985,4700
2021-11-18,3.985,3.985,3.985,3.985,1800
2021-11-18,3.985,3.985,3.975,3.975,8149
2021-11-18,3.975,3.975,3.975,3.975,100
2021-11-18,3.98,3.98,3.98,3.98,2300
2021-11-18,3.98,3.98,3.98,3.98,300
2021-11-18,3.97,3.97,3.97,3.97,1200
2021-11-18,3.97,3.97,3.965,3.97,4950
2021-11-18,3.96,3.96,3.96,3.96,100
2021-11-18,3.97,3.97,3.97,3.97,500
2021-11-18,3.965,3.965,3.965,3.965,1800
2021-11-18,3.96,3.96,3.96,3.96,350
2021-11-18,3.95,3.96,3.95,3.96,800
