Date,Open,High,Low,Close,Volume
2021-11-19,33.37,33.37,33.355,33.365,402
2021-11-19,33.355,33.37,33.355,33.37,221
2021-11-19,33.33,33.33,33.33,33.33,300
2021-11-19,33.32,33.32,33.32,33.32,106
2021-11-19,33.24,33.24,33.24,33.24,204
2021-11-19,33.25,33.25,33.25,33.25,100
2021-11-19,33.23,33.23,33.23,33.23,183
2021-11-19,33.29,33.29,33.29,33.29,100
2021-11-19,33.295,33.295,33.295,33.295,112
2021-11-19,33.28,33.28,33.28,33.28,100
2021-11-19,33.27,33.27,33.26,33.26,300
2021-11-19,33.25,33.25,33.25,33.25,134
2021-11-19,33.27,33.27,33.27,33.27,101
2021-11-19,33.245,33.245,33.245,33.245,100
2021-11-19,33.21,33.23,33.21,33.23,200
2021-11-19,33.225,33.225,33.225,33.225,100
2021-11-19,33.215,33.215,33.215,33.215,100
2021-11-19,33.24,33.24,33.24,33.24,100
2021-11-19,33.24,33.24,33.24,33.24,119
2021-11-19,33.24,33.24,33.24,33.24,100
2021-11-19,33.26,33.28,33.26,33.28,590
2021-11-19,33.27,33.27,33.27,33.27,100
2021-11-19,33.2,33.21,33.2,33.21,275
2021-11-19,33.2,33.2,33.18,33.18,452
2021-11-19,33.185,33.185,33.18,33.18,303
2021-11-19,33.16,33.16,33.16,33.16,207
2021-11-19,33.14,33.14,33.14,33.14,255
2021-11-19,33.09,33.1,33.09,33.1,252
2021-11-19,33.11,33.11,33.11,33.11,100
2021-11-19,33.14,33.14,33.13,33.13,200
2021-11-19,33.15,33.15,33.15,33.15,100
2021-11-19,33.16,33.16,33.16,33.16,100
2021-11-19,33.09,33.09,33.09,33.09,200
2021-11-19,33.08,33.08,33.08,33.08,100
2021-11-19,33.035,33.035,32.98,32.98,400
2021-11-19,32.99,32.99,32.97,32.97,200
2021-11-19,32.985,32.985,32.985,32.985,200
2021-11-19,32.99,32.99,32.99,32.99,100
2021-11-19,33.01,33.01,32.98,32.98,400
2021-11-19,33,33.04,33,33.04,300
2021-11-19,33.04,33.06,33.04,33.06,200
2021-11-19,33.04,33.04,33.02,33.02,200
2021-11-19,33.03,33.1,33.03,33.07,399
2021-11-19,33.1,33.1,33.1,33.1,409
2021-11-19,33.015,33.015,33,33,659
2021-11-19,33.09,33.09,33.09,33.09,617
2021-11-19,33.08,33.08,33.08,33.08,310
2021-11-19,33.06,33.06,33.06,33.06,100
2021-11-19,33.04,33.07,33.04,33.07,243
2021-11-19,33.04,33.04,33.04,33.04,364
2021-11-19,33.02,33.02,33.02,33.02,130
2021-11-19,33.01,33.07,33.01,33.07,212
2021-11-19,33.11,33.11,33.11,33.11,420
2021-11-19,33.12,33.12,33.12,33.12,206
2021-11-19,33.14,33.14,33.14,33.14,100
2021-11-19,33.14,33.14,33.115,33.115,205
2021-11-19,33.065,33.065,33.065,33.065,100
2021-11-19,33.03,33.03,33.03,33.03,101
2021-11-19,33.06,33.06,33.06,33.06,173
2021-11-19,33.04,33.05,33.04,33.05,400
2021-11-19,33.05,33.05,33.05,33.05,100
2021-11-19,33.05,33.05,33.05,33.05,100
2021-11-19,33.06,33.06,33.06,33.06,200
2021-11-19,33.06,33.06,33.06,33.06,200
2021-11-19,33.08,33.08,33.08,33.08,200
2021-11-19,33.12,33.12,33.12,33.12,100
2021-11-19,33.11,33.11,33.11,33.11,100
2021-11-19,33.1,33.11,33.1,33.1,387
2021-11-19,33.1,33.105,33.1,33.105,486
2021-11-19,33.09,33.09,33.08,33.08,450
2021-11-19,33.085,33.105,33.085,33.105,201
2021-11-19,33.12,33.12,33.12,33.12,300
2021-11-19,33.125,33.13,33.095,33.095,303
2021-11-19,33.1,33.1,33.1,33.1,100
2021-11-19,33.08,33.08,33.08,33.08,100
2021-11-19,33.07,33.07,33.07,33.07,250
2021-11-19,33.03,33.03,33.03,33.03,130
2021-11-19,33.03,33.03,33.03,33.03,299
2021-11-19,33.03,33.03,33.03,33.03,250
2021-11-19,32.99,32.99,32.99,32.99,191
2021-11-19,32.99,32.99,32.975,32.975,400
2021-11-19,32.96,32.96,32.95,32.95,200
2021-11-19,32.96,32.96,32.96,32.96,300
2021-11-19,32.965,32.965,32.94,32.94,486
2021-11-19,32.94,32.97,32.935,32.97,407
2021-11-19,32.97,32.985,32.97,32.985,400
2021-11-19,33.02,33.02,33.02,33.02,100
2021-11-19,32.995,32.995,32.97,32.985,821
2021-11-19,32.97,32.97,32.97,32.97,116
2021-11-19,32.96,32.96,32.96,32.96,220
2021-11-19,32.955,32.955,32.94,32.955,400
2021-11-19,32.945,32.945,32.945,32.945,800
2021-11-19,32.97,32.98,32.955,32.955,400
2021-11-19,32.955,32.955,32.955,32.955,109
2021-11-19,32.935,32.95,32.935,32.945,400
2021-11-19,32.95,32.95,32.95,32.95,176
2021-11-19,32.97,32.975,32.97,32.97,400
2021-11-19,32.97,32.97,32.955,32.96,400
2021-11-19,32.96,32.96,32.945,32.945,655
2021-11-19,32.945,32.99,32.945,32.99,356
