Date,Open,High,Low,Close,Volume
2021-11-17,51.69,51.69,51.63,51.69,924
2021-11-17,51.64,51.69,51.64,51.67,743
2021-11-17,51.57,51.57,51.52,51.52,583
2021-11-17,51.47,51.62,51.47,51.61,916
2021-11-17,51.33,51.33,51.29,51.29,870
2021-11-17,51.36,51.36,51.24,51.25,1015
2021-11-17,51.27,51.44,51.27,51.43,856
2021-11-17,51.425,51.45,51.35,51.35,1022
2021-11-17,51.22,51.22,51.18,51.18,810
2021-11-17,51.12,51.12,50.92,51.02,3409
2021-11-17,51.18,51.19,51.18,51.19,602
2021-11-17,51.27,51.72,51.27,51.68,3931
2021-11-17,51.66,51.66,51.47,51.47,849
2021-11-17,51.69,51.74,51.69,51.74,580
2021-11-17,51.71,51.71,51.62,51.62,1555
2021-11-17,51.605,51.7,51.605,51.7,561
2021-11-17,51.63,51.63,51.38,51.54,1258
2021-11-17,51.51,51.57,51.51,51.56,550
2021-11-17,51.51,51.66,51.51,51.66,600
2021-11-17,51.74,51.75,51.66,51.67,1059
2021-11-17,51.78,52.3,51.78,52.21,2347
2021-11-17,52.2,52.68,52.2,52.6,5100
2021-11-17,52.57,52.6,52.43,52.46,1365
2021-11-17,52.47,52.5,52.44,52.44,803
2021-11-17,52.26,52.28,52.26,52.27,523
2021-11-17,52,52,52,52,184
2021-11-17,51.96,52.2,51.96,52.2,1534
2021-11-17,52.2,52.63,52.18,52.61,3884
2021-11-17,52.61,52.8,52.57,52.74,1720
2021-11-17,52.75,52.98,52.64,52.98,1674
2021-11-17,52.92,53.08,52.8,52.9,3616
2021-11-17,52.85,52.95,52.78,52.82,1221
2021-11-17,52.68,52.74,52.62,52.7,1731
2021-11-17,52.78,52.93,52.78,52.8,3569
2021-11-17,52.77,53,52.77,52.84,2502
2021-11-17,52.74,52.74,52.74,52.74,335
2021-11-17,52.72,52.8,52.65,52.65,1576
2021-11-17,52.53,52.53,52.37,52.37,2024
2021-11-17,52.43,52.45,52.43,52.45,359
2021-11-17,52.34,52.36,52.32,52.36,481
2021-11-17,52.47,52.5,52.46,52.46,574
2021-11-17,52.52,52.52,52.35,52.36,745
2021-11-17,52.37,52.59,52.37,52.53,876
2021-11-17,52.56,52.6,52.55,52.55,1355
2021-11-17,52.595,52.645,52.58,52.58,2196
2021-11-17,52.76,52.82,52.76,52.77,1889
2021-11-17,52.68,52.68,52.61,52.61,679
2021-11-17,52.57,52.57,52.57,52.57,175
2021-11-17,52.6,52.6,52.5,52.5,661
2021-11-17,52.49,52.58,52.445,52.58,2008
2021-11-17,52.58,52.72,52.58,52.72,1198
2021-11-17,52.615,52.615,52.6,52.6,406
2021-11-17,52.44,52.45,52.31,52.34,2255
2021-11-17,52.21,52.28,51.98,52.09,5897
2021-11-17,52.1,52.225,52.1,52.21,7496
2021-11-17,52.2,52.2,52.13,52.17,2845
2021-11-17,52.12,52.12,51.95,51.95,2526
2021-11-17,52,52.13,52,52.13,1664
2021-11-17,52.19,52.37,52.17,52.31,2217
2021-11-17,52.34,52.38,52.29,52.38,7814
