Date,Open,High,Low,Close,Volume
2021-11-19,343.53,343.68,343.53,343.68,591
2021-11-19,343.66,343.72,343.66,343.72,305
2021-11-19,343.835,343.91,343.835,343.91,526
2021-11-19,343.845,343.845,343.615,343.615,904
2021-11-19,343.625,343.64,343.61,343.61,2000
2021-11-19,343.56,343.56,343.49,343.525,1211
2021-11-19,343.525,343.53,343.465,343.52,1248
2021-11-19,343.51,343.54,343.51,343.54,694
2021-11-19,343.67,343.69,343.67,343.69,402
2021-11-19,343.63,343.63,343.54,343.61,1231
2021-11-19,343.77,343.77,343.705,343.72,2263
2021-11-19,343.72,343.72,343.62,343.62,600
2021-11-19,343.68,343.68,343.55,343.55,515
2021-11-19,343.55,343.55,343.48,343.53,1345
2021-11-19,343.735,343.735,343.72,343.72,313
2021-11-19,343.71,343.71,343.68,343.68,300
2021-11-19,343.67,343.68,343.67,343.68,258
2021-11-19,343.54,343.59,343.52,343.59,893
2021-11-19,343.53,343.57,343.53,343.53,603
2021-11-19,343.49,343.49,343.49,343.49,200
2021-11-19,343.455,343.455,343.44,343.44,300
2021-11-19,343.49,343.53,343.49,343.51,816
2021-11-19,343.615,343.615,343.55,343.55,766
2021-11-19,343.52,343.52,343.37,343.37,1043
2021-11-19,343.38,343.43,343.34,343.34,300
2021-11-19,343.34,343.34,343.28,343.28,905
2021-11-19,343.42,343.44,343.42,343.44,500
2021-11-19,343.4,343.48,343.4,343.465,2144
2021-11-19,343.49,343.49,343.41,343.41,1063
2021-11-19,343.48,343.48,343.415,343.43,806
2021-11-19,343.42,343.42,343.39,343.39,314
2021-11-19,343.48,343.51,343.48,343.51,1230
2021-11-19,343.58,343.615,343.58,343.61,553
2021-11-19,343.61,343.78,343.61,343.78,1432
2021-11-19,343.66,343.66,343.6,343.6,300
2021-11-19,343.42,343.75,343.42,343.75,1067
2021-11-19,343.65,343.65,343.58,343.61,600
2021-11-19,343.65,343.65,343.65,343.65,200
2021-11-19,343.67,343.67,343.67,343.67,400
2021-11-19,343.665,343.665,343.665,343.665,300
2021-11-19,343.85,343.99,343.85,343.99,1870
2021-11-19,343.92,343.95,343.89,343.95,629
2021-11-19,343.99,344.17,343.99,344.17,828
2021-11-19,344.18,344.21,344.18,344.21,301
2021-11-19,344.1,344.12,343.985,343.985,910
2021-11-19,344.005,344.005,343.94,343.95,1973
2021-11-19,343.96,344.015,343.86,343.88,2746
2021-11-19,343.86,343.87,343.85,343.85,555
2021-11-19,343.82,343.82,343.77,343.77,779
2021-11-19,343.77,343.77,343.72,343.76,1043
2021-11-19,343.75,343.75,343.725,343.725,1000
2021-11-19,343.66,343.71,343.66,343.69,1101
2021-11-19,343.68,343.68,343.61,343.65,1851
2021-11-19,343.65,343.7,343.65,343.7,600
2021-11-19,343.74,343.74,343.605,343.605,721
2021-11-19,343.62,343.69,343.62,343.69,996
2021-11-19,343.675,343.675,343.585,343.585,502
2021-11-19,343.57,343.57,343.47,343.52,1917
2021-11-19,343.53,343.53,343.51,343.51,475
2021-11-19,343.515,343.58,343.51,343.58,900
2021-11-19,343.64,343.66,343.61,343.63,670
2021-11-19,343.65,343.65,343.62,343.62,502
2021-11-19,343.6,343.61,343.6,343.61,393
2021-11-19,343.61,343.67,343.61,343.62,1310
2021-11-19,343.675,343.675,343.65,343.66,400
2021-11-19,343.61,343.7,343.61,343.7,1511
2021-11-19,343.63,343.83,343.595,343.81,2013
2021-11-19,343.85,343.85,343.66,343.66,1097
2021-11-19,343.66,343.66,343.53,343.55,617
2021-11-19,343.53,343.53,343.465,343.465,404
2021-11-19,343.45,343.45,343.27,343.32,1111
2021-11-19,343.38,343.48,343.38,343.435,922
2021-11-19,343.39,343.43,343.375,343.43,960
2021-11-19,343.385,343.385,343.31,343.32,1312
2021-11-19,343.295,343.38,343.27,343.38,700
2021-11-19,343.335,343.36,343.3,343.32,944
2021-11-19,343.36,343.36,343.28,343.28,731
2021-11-19,343.275,343.32,343.21,343.25,1936
2021-11-19,343.39,343.46,343.38,343.45,1158
2021-11-19,343.4,343.44,343.37,343.38,717
2021-11-19,343.4,343.425,343.38,343.425,707
2021-11-19,343.45,343.56,343.45,343.56,996
2021-11-19,343.55,343.57,343.54,343.56,909
2021-11-19,343.54,343.57,343.49,343.57,611
2021-11-19,343.62,343.67,343.58,343.6,1508
2021-11-19,343.5,343.54,343.48,343.49,991
2021-11-19,343.52,343.57,343.52,343.55,600
2021-11-19,343.54,343.54,343.45,343.47,1701
2021-11-19,343.51,343.51,343.47,343.51,870
