Date,Open,High,Low,Close,Volume
2017-11-24,196.65,196.9,195.33,195.72,1496330
2017-11-27,195.56,195.85,194,195.05,2219891
2017-11-28,195.34,199.68,194.01,199.22,5375876
2017-11-29,198.91,199.029,184.32,188.13,10943501
2017-11-30,190.31,190.86,186.68,187.53,4639959
2017-12-01,186.99,189.8,185,186.83,4645479
2017-12-04,189.37,189.72,178.38,184.04,6664650
2017-12-05,183.6,188.14,181.19,184.23,4013395
2017-12-06,183.38,186.4844,182.88,185.31,3851456
2017-12-07,185.71,187.34,183.22,185.2,3600251
2017-12-08,186.5,189.42,186.3,188.53,3905214
2017-12-11,187.99,189.42,185.91,186.21,3687244
2017-12-12,186.01,187.85,184.8183,185.73,3207937
2017-12-13,186.1,188.69,185.41,187.87,3175095
2017-12-14,187.98,192.64,187.2,189.62,5251499
2017-12-15,189,191.43,188.01,190.07,4785961
2017-12-18,191.2,191.65,188.9,190.41,3861230
2017-12-19,190.18,190.2981,185.75,187.03,4456896
2017-12-20,187.94,189.11,185.26,188.82,2993487
2017-12-21,189.44,190.95,187.58,188.62,2685318
2017-12-22,188.33,190.95,186.8,189.95,2923085
2017-12-26,189.78,189.8,186.4,187.76,2288349
2017-12-27,187.97,188.1,185.22,186.23,2985217
2017-12-28,187.18,194.49,186.85,192.71,8353359
2017-12-29,192.51,193.95,191.22,192.06,3997320
2018-01-02,195.92,201.65,195.42,201.09,8644684
2018-01-03,202.05,206.21,201.5,205.05,6757139
2018-01-04,206.11,207.05,204.0006,205.63,4556322
2018-01-05,207.25,210.02,205.59,209.81,5372100
2018-01-08,210.02,212.5,208.44,212.04,3956428
2018-01-09,212.23,212.98,208.59,209.31,4129979
2018-01-10,208.04,213.64,206.91,212.52,3913333
2018-01-11,214.29,217.75,213.35,217.24,5417190
2018-01-12,217.18,222.55,216,221.23,6184044
2018-01-16,224.24,226.07,217.2,221.5,7361909
2018-01-17,221,221.15,216.32,217.49,5834146
2018-01-18,220.21,220.58,216.55,220.33,4796467
2018-01-19,222.75,223.49,218.5,220.449,7033095
2018-01-22,222,227.785,221.2,227.58,10235544
2018-01-23,255.05,257.71,248,250.28,20145820
2018-01-24,250.88,261.71,249.311,261.31,13412191
2018-01-25,262.96,272.3,260.23,269.69,12189390
2018-01-26,271.485,274.6,268.76,274.56,8564070
2018-01-29,274.05,286.81,273.92,284.58,13268470
2018-01-30,277,282.73,272.7,278.8,9227976
2018-01-31,281.94,282.289,269.58,270.45,8613887
2018-02-01,266.41,271.95,263.38,265.07,6691876
2018-02-02,262.92,270.62,262.71,267.39,6922374
2018-02-05,262,267.899,250.03,254.27,8815906
2018-02-06,247.7,266.7,245,265.75,9141526
2018-02-07,266.45,272.45,264.325,264.619,6326803
2018-02-08,267.08,267.62,250,250.1,6647142
2018-02-09,253.6,255.7999,236.11,249.28,13466991
2018-02-12,252.46,259.15,249,257.96,6427392
2018-02-13,256.86,261.41,254.7,258.3,5077997
2018-02-14,260.34,269.88,260.33,266,7943174
2018-02-15,270.03,280.5,267.63,280.31,8138495
2018-02-16,278.85,281.96,275.69,278.52,6256324
2018-02-20,277.74,285.812,276.25,278.54,5695590
2018-02-21,282,286.64,280.01,280.91,6685154
2018-02-22,283.9,284.5,274.45,278.14,6353513
2018-02-23,281,286,277.81,285.93,5550673
2018-02-26,288.75,295.6475,287.01,294.2,7786666
2018-02-27,294.77,297.36,290.59,290.59,6787725
2018-02-28,293.1,295.75,290.78,291.4,5544048
2018-03-01,292.75,295.25,283.83,290.24,8738411
2018-03-02,284.65,301.18,283.23,301.03,10143551
2018-03-05,302.8,316.91,297.6,315,14187061
2018-03-06,319.88,325.79,316.5,325.22,14580740
2018-03-07,320,323.74,314.55,321.15,13264674
2018-03-08,322.2,322.9176,314.13,316.99,8746416
2018-03-09,321.11,331.44,320.23,331.4099,10903491
2018-03-12,333.72,333.98,318.6,321.3,14515516
2018-03-13,323.81,325.8409,313.278,315.87,9907499
2018-03-14,318.16,323.88,317.7,321.549,7902331
2018-03-15,323.17,323.4,318.14,321.11,3871792
2018-03-16,321.42,324.11,318.37,318.45,4890724
2018-03-19,315.8,317,307.34,313.48,6642500
2018-03-20,313.31,319.5,312.8,317.5,4318120
2018-03-21,316.35,319.4,314.511,316.43,3453103
2018-03-22,312.99,314.12,305.66,306.63,5575022
2018-03-23,307.55,310.73,300.36,300.94,6467855
2018-03-26,309.36,321.03,302,320.42,8409217
2018-03-27,322.59,322.9,297,300.76,8601331
2018-03-28,298.39,298.8,281.61,285.82,14454321
2018-03-29,287.15,295.19,275.9,294.89,14359699
2018-04-02,291.94,292.87,275.05,280.22,9982209
2018-04-03,285.45,291.25,278.01,283.78,9768372
2018-04-04,274.48,290.31,271.2239,288.91,9336833
2018-04-05,293.36,299.16,289.11,293.96,8198737
2018-04-06,289.1,298.85,285.65,288.76,8310615
2018-04-09,291.77,299.55,289.12,289.93,7310698
2018-04-10,297.13,298.95,291.69,298.05,8285655
2018-04-11,302.8847,311.64,301.82,303.68,11453107
2018-04-12,309.7187,311.13,306.75,309.26,7522754
2018-04-13,317.1,317.49,308.23,311.64,9186881
2018-04-16,315.92,316.1,304,307.61,12080268
2018-04-17,329.57,338.62,323.77,336.11,24312814
2018-04-18,336.28,338.82,331.1,334.53,8700697
2018-04-19,332.88,335.31,326.77,332.69,6513218
2018-04-20,332.22,336.51,326,327.77,7155565
2018-04-23,329.1499,331.22,317.08,318.67,6888173
2018-04-24,319.2168,328.76,288.94,307.02,10846888
2018-04-25,306.37,309.98,292.615,305.73,11593825
2018-04-26,310.24,316.63,305.58,314,6957788
2018-04-27,316.25,317.45,306.5,311.77,5441505
2018-04-30,311.26,317.88,310.118,312.46,4490503
2018-05-01,310.36,313.48,306.69,313.3,4406949
2018-05-02,312.1,317.1,310.4034,313.36,3686886
2018-05-03,312.59,312.59,305.73,311.62,4196871
2018-05-04,308.94,320.98,307.67,320.09,5640410
2018-05-07,322.04,329.0234,319.34,326.21,4783601
2018-05-08,325.83,327.348,323.05,326.88,3106116
2018-05-09,328.79,331.95,327.51,330.1,3810268
2018-05-10,331.5,332.055,327.3438,329.7,3921826
2018-05-11,329.65,331.26,324.87,326.37,2961414
2018-05-14,327.25,330.5038,327.04,328.52,2666256
2018-05-15,325.94,326.94,322.434,326.13,3211903
2018-05-16,326.29,329.72,325.14,328.32,2488091
2018-05-17,327.53,330.45,323.1734,325.22,3392596
2018-05-18,324.89,326.42,322.8,324.18,2119594
2018-05-21,327.11,331.88,325.45,331.82,4486863
2018-05-22,334.05,336.63,331.15,331.63,4524138
2018-05-23,329.04,345,328.09,344.72,7685384
2018-05-24,344.34,354,341.12,349.3,10584232
2018-05-25,349.95,354.36,348.83,351.31,5952805
2018-05-29,351.5,356.1,346.71,349.73,7434744
2018-05-30,352.37,354,349.26,353.54,4095219
2018-05-31,353.53,355.53,350.21,351.63,4366340
2018-06-01,353.88,359.99,352.82,359.93,5193409
2018-06-04,362.6847,363,355.51,361.98,5772789
2018-06-05,363.05,369.83,361.4124,365.8,6395869
2018-06-06,367.7848,369.6799,363.33,367.5,4873402
2018-06-07,368.7,368.7,357.8,361.4,6166519
