Date,Open,High,Low,Close,Volume
2021-11-19,327.96,328.49,327.92,328.395,2161
2021-11-19,328.52,328.7,328.45,328.7,2363
2021-11-19,328.665,328.76,328.04,328.255,3088
2021-11-19,328.32,328.5,328.32,328.5,1673
2021-11-19,328.38,328.43,328.05,328.42,3418
2021-11-19,328.33,328.67,328.29,328.67,1486
2021-11-19,328.945,329,328.02,328.02,8532
2021-11-19,328.08,328.3,327.99,328.3,1170
2021-11-19,328.25,328.615,328.16,328.45,1608
2021-11-19,328.21,328.34,327.33,327.33,1267
2021-11-19,327.7,327.755,327.7,327.755,685
2021-11-19,327.86,328.11,327.86,328.11,4381
2021-11-19,328.1,328.72,327.86,328.455,9539
2021-11-19,328.48,328.63,328.48,328.59,1463
2021-11-19,328.57,328.63,328.57,328.59,864
2021-11-19,328.67,328.67,328.63,328.63,422
2021-11-19,328.59,328.59,328.5,328.5,365
2021-11-19,328.47,328.57,328.47,328.53,871
2021-11-19,328.58,328.58,328.27,328.27,995
2021-11-19,328,328.13,327.99,328.13,573
2021-11-19,328.1,328.57,327.94,328.55,1375
2021-11-19,328.43,328.5,328.31,328.31,710
2021-11-19,328.92,329.32,328.92,329.31,1633
2021-11-19,329.3,329.3,328.65,328.75,820
2021-11-19,328.75,328.89,328.75,328.885,470
2021-11-19,329,329.28,329,329.16,1070
2021-11-19,329.14,329.29,329.14,329.155,893
2021-11-19,329.2,329.2,328.75,329,1341
2021-11-19,329.29,329.58,329.22,329.47,1780
2021-11-19,329.495,329.76,329.495,329.52,6716
2021-11-19,329.49,329.5,329.49,329.5,291
2021-11-19,329.8,329.8,329.45,329.45,940
2021-11-19,329.65,329.82,329.65,329.79,1596
2021-11-19,329.89,329.89,329.71,329.71,1143
2021-11-19,329.81,329.815,329.63,329.63,621
2021-11-19,329.53,329.56,329.52,329.56,331
2021-11-19,329.5,329.6,329.5,329.59,779
2021-11-19,329.7,329.7,329.7,329.7,309
2021-11-19,329.54,330,329.54,329.86,1433
2021-11-19,329.86,329.99,329.49,329.99,1305
