Date,Open,High,Low,Close,Volume
2021-11-17,22.645,22.645,22.64,22.64,2170
2021-11-17,22.625,22.645,22.625,22.645,1659
2021-11-17,22.645,22.685,22.645,22.685,1426
2021-11-17,22.695,22.71,22.695,22.705,3814
2021-11-17,22.705,22.71,22.705,22.705,415
2021-11-17,22.695,22.71,22.695,22.695,1494
2021-11-17,22.695,22.71,22.695,22.7,997
2021-11-17,22.705,22.705,22.7,22.705,632
2021-11-17,22.71,22.71,22.71,22.71,173
2021-11-17,22.7,22.7,22.68,22.68,500
2021-11-17,22.68,22.68,22.665,22.665,714
2021-11-17,22.665,22.67,22.66,22.67,700
2021-11-17,22.66,22.675,22.66,22.675,1029
2021-11-17,22.67,22.67,22.67,22.67,300
2021-11-17,22.66,22.66,22.645,22.645,565
2021-11-17,22.61,22.615,22.605,22.615,804
2021-11-17,22.58,22.58,22.56,22.56,1315
2021-11-17,22.565,22.565,22.545,22.55,1466
2021-11-17,22.55,22.555,22.535,22.545,1450
2021-11-17,22.565,22.57,22.56,22.56,1051
2021-11-17,22.535,22.535,22.52,22.525,1598
2021-11-17,22.525,22.525,22.505,22.51,1222
2021-11-17,22.52,22.52,22.51,22.51,300
2021-11-17,22.505,22.52,22.505,22.52,3251
2021-11-17,22.51,22.515,22.51,22.51,1090
2021-11-17,22.51,22.515,22.51,22.515,1342
2021-11-17,22.525,22.525,22.525,22.525,311
2021-11-17,22.525,22.565,22.525,22.565,1377
2021-11-17,22.565,22.595,22.56,22.595,799
2021-11-17,22.565,22.57,22.555,22.56,528
2021-11-17,22.555,22.555,22.55,22.55,549
2021-11-17,22.55,22.565,22.55,22.565,1109
2021-11-17,22.565,22.565,22.535,22.535,830
2021-11-17,22.52,22.52,22.52,22.52,170
2021-11-17,22.52,22.52,22.52,22.52,861
2021-11-17,22.515,22.515,22.515,22.515,288
2021-11-17,22.51,22.525,22.51,22.525,2700
2021-11-17,22.52,22.53,22.52,22.525,700
2021-11-17,22.515,22.515,22.51,22.51,1685
2021-11-17,22.51,22.525,22.51,22.525,2955
2021-11-17,22.52,22.525,22.52,22.525,510
2021-11-17,22.515,22.515,22.51,22.515,886
2021-11-17,22.515,22.515,22.51,22.51,404
2021-11-17,22.51,22.515,22.51,22.515,854
2021-11-17,22.515,22.515,22.515,22.515,400
2021-11-17,22.51,22.51,22.51,22.51,203
2021-11-17,22.505,22.51,22.42,22.43,4507
2021-11-17,22.44,22.44,22.42,22.42,800
2021-11-17,22.425,22.435,22.425,22.425,3334
2021-11-17,22.43,22.435,22.42,22.435,1914
2021-11-17,22.435,22.435,22.41,22.42,2491
2021-11-17,22.43,22.45,22.42,22.43,2200
2021-11-17,22.425,22.425,22.41,22.41,300
2021-11-17,22.41,22.44,22.41,22.44,201
2021-11-17,22.43,22.435,22.43,22.435,300
2021-11-17,22.455,22.49,22.455,22.49,526
2021-11-17,22.485,22.485,22.485,22.485,139
2021-11-17,22.48,22.48,22.48,22.48,155
2021-11-17,22.5,22.5,22.48,22.48,539
2021-11-17,22.47,22.48,22.47,22.48,262
2021-11-17,22.465,22.465,22.455,22.455,489
2021-11-17,22.45,22.455,22.45,22.455,490
2021-11-17,22.455,22.455,22.455,22.455,430
2021-11-17,22.455,22.455,22.45,22.45,5331
2021-11-17,22.47,22.47,22.47,22.47,200
2021-11-17,22.46,22.465,22.455,22.455,399
2021-11-17,22.455,22.455,22.43,22.435,592
2021-11-17,22.445,22.445,22.44,22.44,300
2021-11-17,22.445,22.445,22.445,22.445,367
2021-11-17,22.455,22.455,22.455,22.455,100
2021-11-17,22.505,22.505,22.505,22.505,100
2021-11-17,22.485,22.485,22.485,22.485,100
2021-11-17,22.48,22.51,22.48,22.51,1000
2021-11-17,22.515,22.515,22.495,22.495,1627
2021-11-17,22.495,22.495,22.495,22.495,115
2021-11-17,22.52,22.52,22.505,22.505,1406
2021-11-17,22.52,22.52,22.515,22.515,379
2021-11-17,22.525,22.525,22.525,22.525,596
2021-11-17,22.53,22.535,22.53,22.535,941
2021-11-17,22.535,22.535,22.535,22.535,300
2021-11-17,22.535,22.54,22.535,22.54,205
2021-11-17,22.56,22.56,22.56,22.56,100
2021-11-17,22.555,22.555,22.545,22.555,1700
2021-11-17,22.55,22.55,22.54,22.54,500
2021-11-17,22.55,22.55,22.55,22.55,200
2021-11-17,22.54,22.54,22.53,22.53,700
2021-11-17,22.53,22.53,22.52,22.52,772
2021-11-17,22.52,22.52,22.52,22.52,100
