Date,Open,High,Low,Close,Volume
2021-11-17,5.24,5.24,5.24,5.24,1874
2021-11-17,5.24,5.26,5.24,5.26,1041
2021-11-17,5.24,5.24,5.24,5.24,100
2021-11-17,5.2,5.21,5.2,5.21,2031
2021-11-17,5.22,5.25,5.22,5.24,1178
2021-11-17,5.27,5.27,5.22,5.22,1497
2021-11-17,5.19,5.2,5.19,5.19,1645
2021-11-17,5.22,5.22,5.22,5.22,261
2021-11-17,5.28,5.295,5.27,5.29,2256
2021-11-17,5.29,5.29,5.29,5.29,567
2021-11-17,5.29,5.35,5.29,5.34,6706
2021-11-17,5.34,5.34,5.32,5.34,781
2021-11-17,5.33,5.33,5.3,5.32,1535
2021-11-17,5.32,5.33,5.27,5.27,4260
2021-11-17,5.285,5.285,5.28,5.28,356
2021-11-17,5.29,5.29,5.29,5.29,1945
2021-11-17,5.29,5.29,5.29,5.29,240
2021-11-17,5.27,5.27,5.25,5.25,3946
2021-11-17,5.245,5.25,5.21,5.22,4677
2021-11-17,5.24,5.24,5.24,5.24,1787
2021-11-17,5.235,5.235,5.19,5.19,2741
2021-11-17,5.185,5.185,5.13,5.16,7472
2021-11-17,5.16,5.16,5.15,5.16,2030
2021-11-17,5.15,5.15,5.15,5.15,245
2021-11-17,5.13,5.15,5.125,5.15,3046
2021-11-17,5.16,5.17,5.16,5.17,836
2021-11-17,5.16,5.17,5.16,5.17,2088
2021-11-17,5.17,5.18,5.17,5.18,400
2021-11-17,5.155,5.155,5.155,5.155,233
2021-11-17,5.17,5.17,5.17,5.17,1200
2021-11-17,5.15,5.16,5.15,5.16,800
2021-11-17,5.16,5.16,5.16,5.16,441
2021-11-17,5.18,5.22,5.18,5.2,1229
2021-11-17,5.22,5.23,5.22,5.23,500
2021-11-17,5.23,5.23,5.22,5.22,300
2021-11-17,5.215,5.22,5.21,5.22,2500
2021-11-17,5.22,5.22,5.22,5.22,200
2021-11-17,5.22,5.22,5.22,5.22,203
2021-11-17,5.21,5.21,5.175,5.18,600
2021-11-17,5.155,5.175,5.15,5.15,2305
