Date,Open,High,Low,Close,Volume
2021-11-17,205.745,205.745,205.7,205.71,881
2021-11-17,205.75,205.75,205.75,205.75,143
2021-11-17,205.84,205.84,205.84,205.84,124
2021-11-17,205.87,205.87,205.87,205.87,200
2021-11-17,205.82,205.82,205.82,205.82,218
2021-11-17,205.71,205.735,205.71,205.735,383
2021-11-17,205.695,205.695,205.59,205.59,700
2021-11-17,205.625,205.64,205.61,205.61,771
2021-11-17,205.62,205.645,205.62,205.645,549
2021-11-17,205.52,205.52,205.485,205.485,282
2021-11-17,205.53,205.62,205.53,205.6,616
2021-11-17,205.64,205.64,205.61,205.61,410
2021-11-17,205.44,205.44,205.4,205.4,466
2021-11-17,205.35,205.42,205.285,205.42,749
2021-11-17,205.39,205.4,205.37,205.37,1279
2021-11-17,205.175,205.18,205.14,205.17,1541
2021-11-17,205.14,205.215,205.045,205.045,1843
2021-11-17,205.045,205.19,205.04,205.19,2764
2021-11-17,205.13,205.13,205.13,205.13,388
2021-11-17,205.095,205.13,205.08,205.13,868
2021-11-17,205.11,205.28,205.11,205.18,651
2021-11-17,205.24,205.28,205.24,205.27,690
2021-11-17,205.275,205.275,205.125,205.14,301
2021-11-17,205.18,205.18,205.18,205.18,111
2021-11-17,205.14,205.17,205.135,205.135,410
2021-11-17,205.07,205.14,205.07,205.14,726
2021-11-17,205.17,205.17,204.83,204.85,2866
2021-11-17,204.8,204.8,204.62,204.62,4539
2021-11-17,204.57,204.76,204.57,204.76,3014
2021-11-17,204.77,204.94,204.75,204.86,2181
2021-11-17,204.88,204.93,204.83,204.93,2256
2021-11-17,204.79,204.82,204.76,204.79,981
2021-11-17,204.755,204.755,204.755,204.755,100
2021-11-17,204.76,204.76,204.7,204.74,584
2021-11-17,204.68,204.75,204.68,204.75,572
2021-11-17,204.76,204.91,204.755,204.91,911
2021-11-17,204.915,205.13,204.79,205.13,1029
2021-11-17,205.12,205.12,205.12,205.12,580
2021-11-17,205.415,205.42,205.38,205.38,376
2021-11-17,205.37,205.63,205.37,205.56,1334
2021-11-17,205.515,205.58,205.4,205.41,809
2021-11-17,205.46,205.46,205.39,205.42,352
2021-11-17,205.305,205.305,204.95,204.95,867
2021-11-17,204.9,204.94,204.85,204.94,812
2021-11-17,205.02,205.02,205.02,205.02,126
2021-11-17,204.99,204.99,204.99,204.99,373
2021-11-17,204.6,204.6,204.43,204.5,1330
2021-11-17,204.47,204.51,204.47,204.51,294
2021-11-17,204.34,204.34,204.03,204.03,2002
2021-11-17,204.12,204.18,204.1,204.14,2068
2021-11-17,204.25,204.25,204.19,204.2,529
2021-11-17,204.14,204.19,204.14,204.19,554
2021-11-17,204.175,204.2,204.175,204.18,410
2021-11-17,204.195,204.27,204.195,204.27,398
2021-11-17,204.32,204.41,204.32,204.41,595
2021-11-17,204.555,204.59,204.54,204.55,1177
2021-11-17,204.53,204.53,204.44,204.47,614
2021-11-17,204.43,204.43,204.43,204.43,102
2021-11-17,204.27,204.315,204.27,204.315,359
2021-11-17,204.19,204.4,204.19,204.4,200
2021-11-17,204.36,204.36,204.34,204.34,219
2021-11-17,204.34,204.35,204.13,204.14,510
2021-11-17,204.085,204.12,203.92,203.92,1978
2021-11-17,203.94,203.94,203.87,203.94,1391
2021-11-17,203.905,204.02,203.905,204.02,626
2021-11-17,204.02,204.02,204.02,204.02,166
2021-11-17,204.015,204.015,204,204.01,660
2021-11-17,203.845,203.86,203.79,203.79,1284
2021-11-17,203.78,203.78,203.61,203.62,1834
2021-11-17,203.63,203.715,203.63,203.635,1387
2021-11-17,203.53,203.53,203.43,203.43,2043
2021-11-17,203.36,203.43,203.36,203.43,1466
2021-11-17,203.84,203.84,203.81,203.81,759
2021-11-17,203.8,203.92,203.8,203.84,667
2021-11-17,203.775,203.775,203.64,203.72,583
2021-11-17,203.825,203.88,203.77,203.77,2238
2021-11-17,203.81,204.05,203.81,204.05,731
2021-11-17,203.97,204.065,203.91,204.065,1223
2021-11-17,204.03,204.06,204.03,204.06,238
2021-11-17,204.31,204.44,204.24,204.34,1029
2021-11-17,204.36,204.52,204.36,204.48,850
2021-11-17,204.62,204.62,204.6,204.6,547
2021-11-17,204.42,204.42,204.36,204.41,585
2021-11-17,204.46,204.8,204.46,204.79,1541
2021-11-17,204.865,204.89,204.7,204.7,736
2021-11-17,204.7,204.705,204.61,204.61,806
2021-11-17,204.6,204.975,204.6,204.975,1109
2021-11-17,205.1,205.13,204.98,205.09,1375
2021-11-17,205.3,205.3,205.27,205.27,288
2021-11-17,205.1,205.1,205.07,205.07,746
2021-11-17,205.29,205.31,205.29,205.31,398
