Date,Open,High,Low,Close,Volume
2021-11-19,134.21,134.77,134.21,134.77,1453
2021-11-19,134.87,134.87,134.73,134.86,1275
2021-11-19,134.71,134.83,134.71,134.83,841
2021-11-19,135.18,135.29,135.02,135.2,1424
2021-11-19,135.17,135.19,135.03,135.1,1693
2021-11-19,135.2,135.21,135.02,135.03,1025
2021-11-19,134.8,134.875,134.8,134.875,500
2021-11-19,134.84,134.94,134.84,134.94,304
2021-11-19,134.75,134.75,134.58,134.58,837
2021-11-19,134.495,134.54,134.32,134.54,1941
2021-11-19,134.6,134.83,134.57,134.83,986
2021-11-19,134.66,135.215,134.66,135.215,601
2021-11-19,135.11,135.17,134.855,134.855,889
2021-11-19,135.04,135.04,134.82,134.98,671
2021-11-19,134.9,134.99,134.9,134.96,752
2021-11-19,134.94,135.2,134.94,135.12,1741
2021-11-19,135.31,135.625,135.25,135.25,2250
2021-11-19,135.13,135.33,135.13,135.33,336
2021-11-19,135.52,135.59,135.49,135.59,764
2021-11-19,135.63,135.86,135.63,135.86,600
2021-11-19,136.08,136.37,136.08,136.09,1060
2021-11-19,136.03,136.03,135.96,135.96,556
2021-11-19,135.71,136.03,135.71,136.01,5626
2021-11-19,135.99,136.05,135.99,136.04,1357
2021-11-19,135.76,135.76,135.75,135.75,301
2021-11-19,135.89,136.06,135.88,136.06,302
2021-11-19,135.93,135.965,135.93,135.96,324
2021-11-19,136.06,136.19,136.06,136.17,1633
2021-11-19,136.33,136.33,135.92,135.99,1200
2021-11-19,135.95,135.95,135.76,135.94,2401
2021-11-19,135.97,135.98,135.97,135.97,1201
2021-11-19,135.61,135.61,135.3,135.5,2200
2021-11-19,135.44,135.44,135.44,135.44,125
2021-11-19,135.5,135.5,135.39,135.39,650
2021-11-19,135.29,135.29,135.29,135.29,100
2021-11-19,135.36,135.57,135.33,135.5,1181
2021-11-19,135.45,135.63,135.44,135.63,700
2021-11-19,135.66,135.98,135.66,135.91,1189
2021-11-19,135.91,135.925,135.89,135.925,450
2021-11-19,135.81,135.81,134.73,134.83,1357
2021-11-19,134.94,135,134.61,134.61,1309
2021-11-19,134.38,134.38,134.33,134.33,400
2021-11-19,134.4,134.4,134.23,134.35,4454
2021-11-19,134.38,134.53,134.38,134.51,1555
2021-11-19,134.48,134.57,134.48,134.56,3063
2021-11-19,134.84,134.84,134.82,134.83,592
2021-11-19,134.92,135.42,134.92,135.26,1824
2021-11-19,135.26,135.26,135.06,135.06,984
2021-11-19,134.99,135.02,134.95,134.95,1438
2021-11-19,134.97,135.11,134.9,135,1302
2021-11-19,134.7,134.7,134.61,134.61,742
2021-11-19,134.79,134.79,134.79,134.79,139
2021-11-19,134.72,134.74,134.72,134.73,410
