Date,Open,High,Low,Close,Volume
2021-11-19,131.675,131.675,131.675,131.675,100
2021-11-19,131.77,132.46,131.77,132.46,425
2021-11-19,132.4,132.4,132.4,132.4,114
2021-11-19,132.56,132.68,132.465,132.68,850
2021-11-19,132.38,132.43,132.38,132.43,401
2021-11-19,132.74,133.37,132.62,133.01,8107
2021-11-19,132.74,132.74,132.01,132.11,450
2021-11-19,131.91,131.91,131.91,131.91,101
2021-11-19,131.79,131.79,131.67,131.67,390
2021-11-19,131.725,131.725,131.69,131.69,200
2021-11-19,131.7,131.95,131.7,131.95,412
2021-11-19,132.15,132.53,132.15,132.53,1128
2021-11-19,132.72,133.15,132.72,133.15,763
2021-11-19,133.16,133.56,133.115,133.115,878
2021-11-19,132.655,133.01,132.565,132.68,1000
2021-11-19,132.99,133.01,132.75,132.75,1494
2021-11-19,132.71,132.72,132.6,132.6,400
2021-11-19,132.725,133.09,132.725,133.09,372
2021-11-19,133.23,133.29,133.23,133.23,502
2021-11-19,133.175,133.25,133.085,133.25,542
2021-11-19,133.245,133.245,133.225,133.225,436
2021-11-19,133.2,133.2,133.2,133.2,300
2021-11-19,133.45,133.45,133.45,133.45,468
2021-11-19,134.035,134.16,133.18,133.23,817
2021-11-19,133.195,133.66,133.195,133.615,1112
2021-11-19,133.585,133.84,133.57,133.81,1109
2021-11-19,133.62,133.71,133.615,133.675,724
2021-11-19,133.62,133.85,133.615,133.85,503
2021-11-19,133.945,133.945,133.52,133.78,821
2021-11-19,133.72,133.88,133.72,133.86,854
2021-11-19,133.61,133.885,133.545,133.885,600
2021-11-19,133.8,133.83,133.8,133.83,350
2021-11-19,133.77,133.77,133.77,133.77,125
2021-11-19,133.705,134.24,133.705,134.24,4295
2021-11-19,134.63,134.93,134.63,134.785,801
2021-11-19,134.94,135.34,134.94,134.98,1862
2021-11-19,134.86,134.91,134.66,134.75,741
2021-11-19,134.92,135.195,134.92,135.12,648
2021-11-19,135.235,135.69,135.235,135.69,402
2021-11-19,135.92,135.92,135.86,135.86,424
2021-11-19,136.18,136.89,136.18,136.89,526
2021-11-19,136.86,137.335,136.86,137.25,1250
2021-11-19,137.17,137.62,137.07,137.07,5803
2021-11-19,137.1,137.1,136.41,136.61,2672
2021-11-19,136.45,136.47,135.9,135.9,989
2021-11-19,135.575,135.59,135.47,135.59,502
2021-11-19,135.745,135.86,135.745,135.86,1094
2021-11-19,135.81,135.825,135.755,135.755,702
2021-11-19,135.74,135.99,135.74,135.99,346
2021-11-19,136.39,136.79,136.39,136.75,1399
2021-11-19,136.74,136.9,136.67,136.9,846
2021-11-19,136.9,137.19,136.45,136.45,1351
2021-11-19,136.35,137.22,136.35,137.07,1200
2021-11-19,137.16,137.36,136.87,137.16,2158
2021-11-19,136.8,136.82,136,136.41,5014
2021-11-19,136.43,136.56,136.34,136.41,1208
2021-11-19,136.28,136.415,136.28,136.3,901
2021-11-19,136.4,136.99,136.4,136.99,350
2021-11-19,137.18,137.72,137.18,137.72,1032
2021-11-19,137.4,137.75,137.36,137.75,422
