Date,Open,High,Low,Close,Volume
2021-11-17,4.825,4.825,4.825,4.825,1180
2021-11-17,4.825,4.825,4.825,4.825,420
2021-11-17,4.825,4.825,4.82,4.825,515
2021-11-17,4.825,4.825,4.825,4.825,510
2021-11-17,4.825,4.83,4.825,4.825,4700
2021-11-17,4.825,4.825,4.825,4.825,3897
2021-11-17,4.825,4.83,4.825,4.83,7353
2021-11-17,4.835,4.835,4.835,4.835,100
2021-11-17,4.835,4.835,4.835,4.835,5306
2021-11-17,4.835,4.835,4.81,4.815,10423
2021-11-17,4.815,4.815,4.815,4.815,3800
2021-11-17,4.815,4.815,4.815,4.815,6040
2021-11-17,4.815,4.815,4.815,4.815,7200
2021-11-17,4.815,4.825,4.81,4.825,3834
2021-11-18,4.65,4.675,4.65,4.66,10130
2021-11-18,4.665,4.67,4.655,4.655,2200
2021-11-18,4.665,4.665,4.665,4.665,3927
2021-11-18,4.665,4.665,4.655,4.665,5900
2021-11-18,4.675,4.675,4.6,4.6,6036
2021-11-18,4.55,4.55,4.535,4.545,12918
2021-11-18,4.48,4.51,4.48,4.51,564
2021-11-18,4.51,4.515,4.5,4.5,6900
2021-11-18,4.5,4.5,4.5,4.5,2340
2021-11-18,4.485,4.5,4.485,4.5,3018
2021-11-18,4.49,4.495,4.3,4.3,4390
2021-11-18,4.3,4.31,4.18,4.18,2247
2021-11-18,4.29,4.34,4.29,4.31,610
2021-11-18,4.37,4.4,4.37,4.4,800
2021-11-18,4.4,4.45,4.4,4.45,1200
2021-11-18,4.42,4.5,4.42,4.5,500
2021-11-18,4.35,4.375,4.35,4.375,417
2021-11-18,4.4,4.4,4.4,4.4,200
2021-11-18,4.385,4.385,4.38,4.385,412
2021-11-18,4.375,4.415,4.375,4.405,10401
2021-11-18,4.405,4.415,4.405,4.415,1084
2021-11-18,4.44,4.44,4.43,4.435,1500
2021-11-18,4.455,4.455,4.455,4.455,100
2021-11-18,4.45,4.455,4.445,4.445,700
2021-11-18,4.44,4.44,4.44,4.44,101
2021-11-18,4.43,4.43,4.43,4.43,100
2021-11-18,4.39,4.39,4.39,4.39,100
2021-11-18,4.38,4.38,4.38,4.38,187
2021-11-18,4.385,4.385,4.385,4.385,100
2021-11-18,4.39,4.39,4.375,4.375,775
2021-11-18,4.37,4.37,4.355,4.355,300
2021-11-18,4.36,4.36,4.35,4.35,500
2021-11-18,4.36,4.36,4.36,4.36,125
2021-11-18,4.355,4.355,4.355,4.355,500
2021-11-18,4.36,4.36,4.36,4.36,105
2021-11-18,4.41,4.41,4.41,4.41,200
2021-11-18,4.405,4.405,4.405,4.405,282
2021-11-18,4.38,4.38,4.375,4.375,219
2021-11-18,4.365,4.365,4.365,4.365,100
2021-11-18,4.35,4.35,4.35,4.35,100
2021-11-18,4.34,4.34,4.34,4.34,300
2021-11-18,4.35,4.35,4.35,4.35,100
2021-11-18,4.37,4.37,4.37,4.37,100
2021-11-18,4.395,4.4,4.395,4.4,400
2021-11-18,4.41,4.41,4.41,4.41,100
2021-11-18,4.435,4.435,4.435,4.435,101
2021-11-18,4.43,4.43,4.41,4.41,301
2021-11-18,4.385,4.39,4.385,4.39,200
2021-11-18,4.395,4.395,4.395,4.395,100
2021-11-18,4.39,4.39,4.39,4.39,200
2021-11-18,4.39,4.39,4.385,4.39,500
2021-11-18,4.4,4.4,4.39,4.39,899
2021-11-18,4.39,4.39,4.39,4.39,100
2021-11-18,4.395,4.395,4.375,4.38,700
2021-11-18,4.38,4.38,4.38,4.38,1100
2021-11-18,4.39,4.39,4.39,4.39,200
2021-11-18,4.4,4.4,4.4,4.4,100
2021-11-18,4.39,4.39,4.385,4.385,615
2021-11-18,4.385,4.385,4.385,4.385,100
2021-11-18,4.385,4.39,4.385,4.39,700
2021-11-18,4.385,4.385,4.385,4.385,103
2021-11-18,4.39,4.39,4.39,4.39,397
2021-11-18,4.41,4.41,4.405,4.41,700
2021-11-18,4.405,4.405,4.405,4.405,100
2021-11-18,4.39,4.39,4.385,4.385,799
2021-11-18,4.38,4.38,4.38,4.38,100
2021-11-18,4.375,4.385,4.375,4.385,1687
2021-11-18,4.395,4.395,4.395,4.395,500
2021-11-18,4.39,4.39,4.385,4.385,300
2021-11-18,4.39,4.4,4.39,4.4,414
2021-11-18,4.395,4.395,4.395,4.395,100
2021-11-18,4.39,4.39,4.39,4.39,100
2021-11-18,4.4,4.4,4.4,4.4,300
2021-11-18,4.405,4.405,4.405,4.405,100
2021-11-18,4.405,4.41,4.405,4.405,1325
2021-11-18,4.415,4.43,4.415,4.425,2220
2021-11-18,4.425,4.43,4.425,4.43,400
2021-11-18,4.445,4.445,4.445,4.445,400
2021-11-18,4.445,4.445,4.445,4.445,100
2021-11-18,4.44,4.44,4.43,4.44,1956
2021-11-18,4.455,4.455,4.455,4.455,100
2021-11-18,4.465,4.465,4.465,4.465,719
2021-11-18,4.42,4.42,4.42,4.42,701
2021-11-18,4.415,4.415,4.415,4.415,200
2021-11-18,4.405,4.405,4.405,4.405,100
2021-11-18,4.41,4.41,4.41,4.41,100
2021-11-18,4.405,4.405,4.4,4.405,5207
2021-11-18,4.44,4.44,4.435,4.435,588
2021-11-18,4.415,4.42,4.405,4.42,600
2021-11-18,4.405,4.43,4.405,4.405,700
2021-11-18,4.405,4.405,4.405,4.405,100
2021-11-18,4.405,4.405,4.405,4.405,100
2021-11-18,4.405,4.405,4.405,4.405,200
2021-11-18,4.39,4.39,4.385,4.385,3042
2021-11-18,4.385,4.385,4.385,4.385,1050
2021-11-18,4.385,4.385,4.385,4.385,900
2021-11-18,4.385,4.385,4.38,4.38,1498
2021-11-18,4.375,4.375,4.375,4.375,100
2021-11-18,4.375,4.375,4.375,4.375,2200
2021-11-18,4.375,4.375,4.375,4.375,4600
2021-11-18,4.375,4.375,4.375,4.375,400
2021-11-18,4.375,4.375,4.375,4.375,1400
2021-11-18,4.375,4.375,4.375,4.375,400
2021-11-18,4.375,4.375,4.375,4.375,400
2021-11-18,4.375,4.375,4.375,4.375,400
2021-11-18,4.375,4.375,4.375,4.375,400
2021-11-18,4.375,4.375,4.375,4.375,3740
2021-11-18,4.375,4.375,4.375,4.375,200
2021-11-18,4.375,4.375,4.375,4.375,600
2021-11-18,4.37,4.37,4.35,4.35,2504
2021-11-18,4.345,4.345,4.335,4.335,5928
2021-11-18,4.315,4.32,4.315,4.32,3208
2021-11-18,4.315,4.32,4.315,4.32,1100
2021-11-18,4.31,4.31,4.31,4.31,300
2021-11-18,4.3,4.31,4.285,4.31,600
2021-11-18,4.3,4.3,4.3,4.3,100
2021-11-18,4.3,4.3,4.3,4.3,100
2021-11-18,4.3,4.3,4.3,4.3,100
2021-11-18,4.3,4.3,4.3,4.3,100
2021-11-18,4.295,4.295,4.295,4.295,300
2021-11-18,4.295,4.295,4.295,4.295,900
2021-11-18,4.295,4.295,4.295,4.295,300
2021-11-18,4.31,4.31,4.31,4.31,100
2021-11-18,4.305,4.305,4.305,4.305,300
2021-11-18,4.305,4.305,4.305,4.305,100
2021-11-18,4.31,4.31,4.31,4.31,115
2021-11-18,4.305,4.31,4.305,4.31,200
2021-11-18,4.305,4.305,4.305,4.305,100
2021-11-18,4.305,4.305,4.305,4.305,100
2021-11-18,4.305,4.305,4.305,4.305,100
2021-11-18,4.31,4.31,4.305,4.305,400
2021-11-18,4.32,4.32,4.32,4.32,100
2021-11-18,4.32,4.32,4.32,4.32,300
2021-11-18,4.32,4.32,4.32,4.32,100
2021-11-18,4.32,4.32,4.32,4.32,100
2021-11-18,4.32,4.32,4.315,4.315,400
2021-11-18,4.325,4.325,4.325,4.325,100
2021-11-18,4.33,4.33,4.33,4.33,200
2021-11-18,4.34,4.34,4.34,4.34,300
2021-11-18,4.325,4.33,4.325,4.33,830
2021-11-18,4.33,4.33,4.33,4.33,100
2021-11-18,4.33,4.33,4.33,4.33,200
2021-11-18,4.335,4.335,4.335,4.335,100
2021-11-18,4.34,4.34,4.34,4.34,300
2021-11-18,4.335,4.34,4.33,4.33,3100
2021-11-18,4.335,4.335,4.33,4.33,565
2021-11-18,4.335,4.335,4.335,4.335,109
2021-11-18,4.335,4.34,4.335,4.335,600
2021-11-18,4.335,4.335,4.335,4.335,200
2021-11-18,4.335,4.335,4.335,4.335,100
2021-11-18,4.335,4.335,4.335,4.335,100
2021-11-18,4.335,4.335,4.335,4.335,300
2021-11-18,4.335,4.335,4.335,4.335,100
2021-11-18,4.335,4.335,4.335,4.335,170
2021-11-18,4.335,4.34,4.335,4.34,800
2021-11-18,4.335,4.335,4.335,4.335,300
2021-11-18,4.335,4.335,4.335,4.335,1100
2021-11-18,4.335,4.34,4.335,4.335,1300
2021-11-18,4.335,4.335,4.335,4.335,500
2021-11-18,4.335,4.335,4.335,4.335,100
2021-11-18,4.335,4.335,4.335,4.335,100
2021-11-18,4.335,4.335,4.335,4.335,300
2021-11-18,4.335,4.335,4.335,4.335,100
2021-11-18,4.335,4.335,4.335,4.335,100
2021-11-18,4.335,4.335,4.335,4.335,200
2021-11-18,4.335,4.335,4.335,4.335,100
2021-11-18,4.335,4.335,4.335,4.335,400
2021-11-18,4.335,4.34,4.335,4.335,314
2021-11-18,4.335,4.335,4.335,4.335,300
2021-11-18,4.335,4.335,4.335,4.335,100
2021-11-18,4.335,4.335,4.335,4.335,200
2021-11-18,4.34,4.34,4.34,4.34,100
2021-11-18,4.35,4.35,4.345,4.345,800
2021-11-18,4.345,4.345,4.345,4.345,200
2021-11-18,4.345,4.345,4.345,4.345,100
2021-11-18,4.35,4.35,4.35,4.35,1647
2021-11-18,4.35,4.35,4.35,4.35,2600
2021-11-18,4.35,4.35,4.35,4.35,400
2021-11-18,4.355,4.36,4.355,4.355,5300
2021-11-18,4.355,4.355,4.355,4.355,200
2021-11-18,4.355,4.36,4.355,4.355,2312
2021-11-18,4.355,4.355,4.355,4.355,600
2021-11-18,4.355,4.355,4.355,4.355,500
2021-11-18,4.355,4.355,4.355,4.355,1600
2021-11-18,4.35,4.35,4.345,4.345,1825
2021-11-18,4.345,4.345,4.335,4.335,2142
2021-11-18,4.335,4.335,4.335,4.335,439
2021-11-18,4.335,4.335,4.335,4.335,2814
2021-11-18,4.335,4.335,4.335,4.335,679
2021-11-18,4.335,4.335,4.335,4.335,200
2021-11-18,4.335,4.335,4.335,4.335,771
2021-11-18,4.34,4.35,4.34,4.35,633
2021-11-18,4.35,4.355,4.35,4.355,665
2021-11-18,4.355,4.355,4.35,4.35,1501
2021-11-18,4.355,4.355,4.355,4.355,1896
2021-11-18,4.355,4.355,4.35,4.355,6761
2021-11-18,4.355,4.355,4.35,4.355,10809
2021-11-18,4.355,4.355,4.355,4.355,7551
2021-11-18,4.355,4.355,4.35,4.355,18669
2021-11-18,4.355,4.355,4.355,4.355,2007
2021-11-19,4.49,4.49,4.49,4.49,1050
2021-11-19,4.555,4.56,4.465,4.465,4700
