Date,Open,High,Low,Close,Volume
2021-11-19,20.36,20.36,20.35,20.36,527
2021-11-19,20.36,20.365,20.36,20.36,850
2021-11-19,20.37,20.37,20.36,20.36,508
2021-11-19,20.365,20.38,20.365,20.38,437
2021-11-19,20.365,20.365,20.365,20.365,130
2021-11-19,20.37,20.37,20.36,20.37,630
2021-11-19,20.365,20.365,20.365,20.365,330
2021-11-19,20.365,20.365,20.36,20.365,1031
2021-11-19,20.365,20.38,20.365,20.375,1130
2021-11-19,20.37,20.37,20.37,20.37,162
2021-11-19,20.375,20.385,20.37,20.385,1362
2021-11-19,20.385,20.39,20.37,20.37,701
2021-11-19,20.38,20.39,20.38,20.39,850
2021-11-19,20.39,20.39,20.385,20.385,200
2021-11-19,20.39,20.395,20.385,20.385,700
2021-11-19,20.395,20.405,20.395,20.405,406
2021-11-19,20.41,20.445,20.41,20.44,1728
2021-11-19,20.44,20.46,20.435,20.46,1655
2021-11-19,20.46,20.46,20.45,20.45,1500
2021-11-19,20.455,20.465,20.455,20.46,1218
2021-11-19,20.455,20.465,20.455,20.46,725
2021-11-19,20.41,20.41,20.25,20.25,4690
2021-11-19,20.24,20.305,20.215,20.305,4339
2021-11-19,20.31,20.32,20.3,20.32,800
2021-11-19,20.315,20.35,20.315,20.35,400
2021-11-19,20.335,20.335,20.335,20.335,112
2021-11-19,20.32,20.32,20.31,20.315,721
2021-11-19,20.305,20.305,20.29,20.295,512
2021-11-19,20.27,20.28,20.27,20.28,311
2021-11-19,20.315,20.315,20.29,20.3,1541
2021-11-19,20.315,20.33,20.315,20.33,900
2021-11-19,20.32,20.33,20.32,20.325,1211
2021-11-19,20.34,20.36,20.34,20.355,598
2021-11-19,20.335,20.34,20.335,20.34,611
2021-11-19,20.33,20.33,20.32,20.32,511
2021-11-19,20.325,20.335,20.325,20.335,400
2021-11-19,20.32,20.32,20.3,20.3,936
2021-11-19,20.27,20.275,20.27,20.275,411
2021-11-19,20.28,20.28,20.275,20.275,1225
2021-11-19,20.275,20.28,20.265,20.28,700
2021-11-19,20.295,20.295,20.29,20.29,800
2021-11-19,20.315,20.32,20.315,20.32,1195
2021-11-19,20.335,20.345,20.335,20.345,600
2021-11-19,20.335,20.335,20.32,20.325,500
2021-11-19,20.325,20.325,20.325,20.325,101
2021-11-19,20.335,20.335,20.325,20.325,1416
2021-11-19,20.34,20.34,20.34,20.34,815
2021-11-19,20.345,20.345,20.34,20.34,400
2021-11-19,20.335,20.345,20.325,20.345,900
2021-11-19,20.34,20.34,20.34,20.34,200
2021-11-19,20.34,20.34,20.34,20.34,828
2021-11-19,20.325,20.33,20.325,20.33,456
2021-11-19,20.3,20.32,20.295,20.32,1410
2021-11-19,20.31,20.32,20.31,20.315,400
2021-11-19,20.32,20.32,20.31,20.315,1200
2021-11-19,20.315,20.32,20.305,20.305,1430
2021-11-19,20.3,20.32,20.295,20.315,1354
2021-11-19,20.315,20.355,20.315,20.345,1055
2021-11-19,20.345,20.39,20.34,20.37,2123
2021-11-19,20.375,20.375,20.335,20.335,1415
2021-11-19,20.335,20.35,20.335,20.34,1462
2021-11-19,20.345,20.35,20.34,20.34,1367
2021-11-19,20.32,20.33,20.32,20.33,300
2021-11-19,20.33,20.355,20.33,20.355,1036
2021-11-19,20.355,20.365,20.35,20.35,1500
2021-11-19,20.35,20.365,20.35,20.365,651
2021-11-19,20.37,20.37,20.355,20.36,1236
2021-11-19,20.36,20.39,20.36,20.39,883
2021-11-19,20.385,20.39,20.38,20.385,1136
2021-11-19,20.385,20.39,20.385,20.39,1436
2021-11-19,20.395,20.41,20.395,20.41,520
2021-11-19,20.41,20.42,20.41,20.415,1393
2021-11-19,20.415,20.43,20.405,20.41,2844
2021-11-19,20.385,20.39,20.335,20.335,1382
2021-11-19,20.335,20.345,20.325,20.345,923
2021-11-19,20.385,20.39,20.385,20.39,300
2021-11-19,20.385,20.4,20.385,20.4,300
2021-11-19,20.4,20.405,20.385,20.385,1111
2021-11-19,20.39,20.39,20.32,20.32,680
2021-11-19,20.305,20.315,20.295,20.315,717
2021-11-19,20.3,20.3,20.28,20.285,1403
2021-11-19,20.29,20.295,20.275,20.29,940
2021-11-19,20.3,20.3,20.28,20.3,1211
2021-11-19,20.32,20.33,20.32,20.33,235
2021-11-19,20.325,20.325,20.3,20.3,1569
2021-11-19,20.29,20.29,20.265,20.265,1100
2021-11-19,20.26,20.26,20.235,20.235,1024
2021-11-19,20.245,20.265,20.24,20.24,1762
2021-11-19,20.225,20.225,20.135,20.195,4208
2021-11-19,20.19,20.205,20.18,20.205,1541
2021-11-19,20.205,20.205,20.185,20.185,571
2021-11-19,20.19,20.19,20.16,20.175,1533
2021-11-19,20.18,20.205,20.18,20.2,684
2021-11-19,20.195,20.2,20.185,20.185,685
2021-11-19,20.19,20.195,20.1,20.1,3137
2021-11-19,20.11,20.15,20.1,20.15,1053
2021-11-19,20.175,20.175,20.14,20.14,1085
2021-11-19,20.15,20.205,20.15,20.205,909
2021-11-19,20.205,20.22,20.2,20.2,1635
2021-11-19,20.195,20.25,20.195,20.25,3965
2021-11-19,20.28,20.325,20.28,20.325,2566
2021-11-19,20.315,20.315,20.275,20.275,3769
2021-11-19,20.275,20.3,20.27,20.3,2628
2021-11-19,20.305,20.325,20.3,20.3,5826
2021-11-19,20.315,20.38,20.315,20.345,4127
2021-11-19,20.34,20.385,20.335,20.335,9180
2021-11-19,20.34,20.34,20.315,20.325,4130
2021-11-19,20.335,20.35,20.325,20.345,6838
2021-11-19,20.345,20.35,20.315,20.345,8313
2021-11-19,20.345,20.38,20.33,20.375,9722
2021-11-22,20.52,20.54,20.465,20.49,4285
2021-11-22,20.51,20.58,20.51,20.57,2414
2021-11-22,20.52,20.52,20.45,20.49,1200
2021-11-22,20.19,20.19,20.15,20.15,625
2021-11-22,20.15,20.15,19.88,19.93,2026
2021-11-22,19.925,19.95,19.695,19.695,1794
2021-11-22,19.61,19.7,19.6,19.62,4152
2021-11-22,19.61,19.7,19.61,19.63,4143
2021-11-22,19.7,19.8,19.7,19.8,2759
2021-11-22,19.8,19.82,19.67,19.67,1310
2021-11-22,19.725,19.83,19.68,19.75,4224
2021-11-22,19.78,19.8,19.75,19.795,2272
2021-11-22,19.775,19.775,19.735,19.735,6274
2021-11-22,19.735,19.735,19.45,19.47,4169
2021-11-22,19.415,19.42,19.21,19.32,5043
2021-11-22,19.435,19.56,19.415,19.56,2509
2021-11-22,19.43,19.45,19.43,19.45,1581
2021-11-22,19.45,19.485,19.4,19.485,2322
2021-11-22,19.46,19.515,19.46,19.485,3690
2021-11-22,19.505,19.55,19.505,19.55,2100
2021-11-22,19.55,19.56,19.53,19.56,986
2021-11-22,19.615,19.62,19.615,19.615,1150
2021-11-22,19.615,19.715,19.61,19.69,3328
2021-11-22,19.695,19.735,19.66,19.73,2526
2021-11-22,19.73,19.765,19.72,19.72,6780
2021-11-22,19.72,19.77,19.685,19.77,4561
2021-11-22,19.78,19.78,19.76,19.76,1335
2021-11-22,19.72,19.75,19.705,19.705,1218
2021-11-22,19.72,19.72,19.59,19.59,882
2021-11-22,19.58,19.58,19.505,19.505,2162
2021-11-22,19.535,19.605,19.525,19.585,12934
2021-11-22,19.58,19.59,19.51,19.51,1952
2021-11-22,19.54,19.55,19.53,19.55,1300
2021-11-22,19.54,19.67,19.53,19.67,1291
2021-11-22,19.66,19.66,19.57,19.57,2401
2021-11-22,19.585,19.635,19.585,19.615,1125
2021-11-22,19.615,19.615,19.595,19.595,372
2021-11-22,19.62,19.65,19.62,19.635,512
2021-11-22,19.67,19.7,19.67,19.7,1229
2021-11-22,19.7,19.7,19.625,19.67,1957
2021-11-22,19.68,19.68,19.65,19.65,512
2021-11-22,19.675,19.7,19.655,19.69,1475
2021-11-22,19.72,19.72,19.7,19.7,1837
2021-11-22,19.675,19.675,19.675,19.675,309
2021-11-22,19.73,19.74,19.725,19.73,2310
2021-11-22,19.69,19.69,19.66,19.66,813
2021-11-22,19.58,19.58,19.565,19.57,1106
2021-11-22,19.59,19.59,19.56,19.56,716
2021-11-22,19.61,19.61,19.55,19.57,410
2021-11-22,19.57,19.57,19.57,19.57,311
2021-11-22,19.52,19.54,19.52,19.54,501
2021-11-22,19.55,19.56,19.5,19.53,1476
2021-11-22,19.585,19.61,19.585,19.61,600
2021-11-22,19.64,19.66,19.64,19.66,402
2021-11-22,19.63,19.64,19.6,19.6,1722
2021-11-22,19.595,19.605,19.58,19.58,8803
2021-11-22,19.575,19.575,19.49,19.49,1621
2021-11-22,19.49,19.51,19.49,19.505,500
2021-11-22,19.49,19.495,19.44,19.44,1684
2021-11-22,19.44,19.44,19.385,19.385,739
2021-11-22,19.4,19.415,19.4,19.4,1355
2021-11-22,19.43,19.43,19.43,19.43,1514
2021-11-22,19.51,19.51,19.495,19.495,310
2021-11-22,19.5,19.5,19.475,19.475,210
2021-11-22,19.515,19.515,19.515,19.515,101
2021-11-22,19.455,19.455,19.445,19.445,300
2021-11-22,19.41,19.41,19.41,19.41,130
2021-11-22,19.425,19.425,19.35,19.36,1432
2021-11-22,19.38,19.38,19.365,19.365,1015
2021-11-22,19.385,19.385,19.385,19.385,115
2021-11-22,19.395,19.395,19.345,19.38,1083
2021-11-22,19.37,19.37,19.325,19.355,1118
2021-11-22,19.375,19.42,19.375,19.385,1265
2021-11-22,19.385,19.415,19.385,19.415,1733
2021-11-22,19.4,19.41,19.4,19.41,500
2021-11-22,19.36,19.36,19.33,19.33,2763
2021-11-22,19.315,19.32,19.3,19.3,1558
2021-11-22,19.305,19.31,19.29,19.3,2818
2021-11-22,19.27,19.305,19.27,19.295,2590
2021-11-22,19.28,19.305,19.275,19.305,4910
2021-11-22,19.275,19.28,19.265,19.28,14997
2021-11-22,19.27,19.27,19.21,19.21,2150
2021-11-22,19.19,19.23,19.19,19.23,1574
2021-11-22,19.2,19.24,19.195,19.2,2387
2021-11-22,19.23,19.24,19.225,19.23,1813
2021-11-22,19.205,19.205,19.17,19.19,2386
2021-11-22,19.14,19.17,19.08,19.155,5231
2021-11-22,19.155,19.2,19.15,19.2,2451
2021-11-22,19.1,19.1,18.98,19.01,4523
2021-11-22,19.02,19.03,18.99,19.02,11571
2021-11-22,19.04,19.04,18.93,18.93,4828
2021-11-22,18.93,18.965,18.88,18.9,7415
2021-11-22,18.89,18.89,18.78,18.79,4532
2021-11-22,18.8,18.945,18.8,18.945,1289
2021-11-22,19,19.05,18.98,19.04,3147
2021-11-22,19.035,19.1,19.035,19.1,2233
2021-11-22,19.09,19.11,19.02,19.025,3021
2021-11-22,18.97,18.99,18.94,18.95,1118
2021-11-22,18.98,19.02,18.97,19.01,1820
2021-11-22,19.01,19.01,18.96,18.97,620
2021-11-22,18.975,18.975,18.93,18.975,820
