Date,Open,High,Low,Close,Volume
2021-11-19,4.49,4.49,4.47,4.47,2390
2021-11-19,4.48,4.48,4.48,4.48,144
2021-11-19,4.47,4.47,4.47,4.47,200
2021-11-19,4.43,4.43,4.42,4.42,685
2021-11-19,4.41,4.425,4.41,4.425,1300
2021-11-19,4.435,4.435,4.435,4.435,100
2021-11-19,4.45,4.45,4.45,4.45,421
2021-11-19,4.43,4.43,4.43,4.43,201
2021-11-19,4.42,4.43,4.42,4.42,800
2021-11-19,4.43,4.43,4.43,4.43,100
2021-11-19,4.42,4.42,4.42,4.42,100
2021-11-19,4.405,4.405,4.405,4.405,2201
2021-11-19,4.365,4.365,4.365,4.365,539
2021-11-19,4.37,4.37,4.37,4.37,440
2021-11-19,4.37,4.37,4.37,4.37,300
2021-11-19,4.37,4.37,4.37,4.37,100
2021-11-19,4.37,4.37,4.37,4.37,300
2021-11-19,4.37,4.385,4.37,4.385,491
2021-11-19,4.385,4.385,4.38,4.38,486
2021-11-19,4.38,4.38,4.38,4.38,301
2021-11-19,4.38,4.385,4.38,4.385,852
2021-11-19,4.39,4.39,4.385,4.385,500
2021-11-19,4.395,4.395,4.395,4.395,300
2021-11-19,4.41,4.41,4.41,4.41,200
2021-11-19,4.405,4.405,4.405,4.405,100
2021-11-19,4.4,4.405,4.4,4.4,3393
2021-11-19,4.39,4.39,4.38,4.38,236
2021-11-19,4.38,4.39,4.38,4.39,200
2021-11-19,4.39,4.39,4.39,4.39,300
2021-11-19,4.41,4.42,4.41,4.42,900
2021-11-19,4.42,4.42,4.42,4.42,791
2021-11-19,4.44,4.44,4.435,4.435,512
2021-11-19,4.43,4.43,4.43,4.43,536
2021-11-19,4.43,4.43,4.43,4.43,100
2021-11-19,4.42,4.42,4.42,4.42,100
2021-11-19,4.42,4.42,4.42,4.42,100
2021-11-19,4.42,4.42,4.42,4.42,300
2021-11-19,4.42,4.42,4.42,4.42,200
2021-11-19,4.41,4.41,4.41,4.41,300
2021-11-19,4.42,4.42,4.41,4.41,500
2021-11-19,4.415,4.415,4.415,4.415,100
2021-11-19,4.42,4.42,4.42,4.42,200
2021-11-19,4.42,4.42,4.42,4.42,100
2021-11-19,4.41,4.41,4.41,4.41,300
2021-11-19,4.415,4.415,4.415,4.415,200
2021-11-19,4.415,4.415,4.415,4.415,100
2021-11-19,4.425,4.425,4.42,4.42,300
2021-11-19,4.41,4.41,4.41,4.41,600
2021-11-19,4.4,4.4,4.395,4.395,252
2021-11-19,4.39,4.39,4.39,4.39,100
2021-11-19,4.4,4.4,4.4,4.4,100
2021-11-19,4.41,4.41,4.41,4.41,100
2021-11-19,4.41,4.41,4.41,4.41,200
2021-11-19,4.41,4.41,4.405,4.405,985
2021-11-19,4.4,4.41,4.4,4.41,642
2021-11-19,4.405,4.405,4.405,4.405,800
2021-11-19,4.4,4.4,4.4,4.4,100
2021-11-19,4.39,4.39,4.39,4.39,295
2021-11-19,4.38,4.38,4.38,4.38,185
2021-11-19,4.38,4.38,4.37,4.375,1900
2021-11-19,4.375,4.375,4.375,4.375,100
2021-11-19,4.375,4.375,4.375,4.375,820
2021-11-19,4.375,4.375,4.375,4.375,100
2021-11-19,4.37,4.37,4.37,4.37,1701
2021-11-19,4.37,4.37,4.37,4.37,573
2021-11-19,4.38,4.38,4.38,4.38,647
2021-11-19,4.37,4.37,4.37,4.37,100
2021-11-19,4.37,4.37,4.37,4.37,200
2021-11-19,4.37,4.37,4.37,4.37,106
2021-11-19,4.38,4.38,4.375,4.38,1004
2021-11-19,4.37,4.375,4.365,4.365,2384
2021-11-19,4.365,4.365,4.36,4.36,1222
2021-11-19,4.36,4.36,4.35,4.35,1180
2021-11-19,4.35,4.35,4.33,4.34,6530
2021-11-19,4.345,4.345,4.345,4.345,400
2021-11-19,4.35,4.35,4.35,4.35,900
2021-11-19,4.35,4.35,4.35,4.35,400
2021-11-19,4.345,4.345,4.345,4.345,2400
2021-11-19,4.34,4.34,4.34,4.34,579
2021-11-19,4.34,4.34,4.34,4.34,500
2021-11-19,4.34,4.34,4.34,4.34,428
2021-11-19,4.345,4.345,4.345,4.345,200
2021-11-19,4.36,4.365,4.36,4.365,1300
2021-11-19,4.37,4.37,4.37,4.37,603
2021-11-19,4.365,4.37,4.365,4.37,200
2021-11-19,4.375,4.375,4.375,4.375,400
2021-11-19,4.37,4.375,4.37,4.375,616
2021-11-19,4.38,4.38,4.38,4.38,600
2021-11-19,4.395,4.395,4.395,4.395,1090
2021-11-19,4.39,4.39,4.39,4.39,200
2021-11-19,4.385,4.385,4.385,4.385,148
2021-11-19,4.375,4.375,4.375,4.375,801
2021-11-19,4.36,4.365,4.36,4.365,2800
2021-11-19,4.36,4.36,4.36,4.36,100
2021-11-19,4.36,4.36,4.355,4.355,400
2021-11-19,4.355,4.355,4.355,4.355,1000
2021-11-19,4.36,4.36,4.36,4.36,200
2021-11-19,4.36,4.36,4.36,4.36,300
2021-11-19,4.355,4.355,4.35,4.35,800
2021-11-19,4.37,4.37,4.37,4.37,103
2021-11-19,4.355,4.355,4.355,4.355,205
2021-11-19,4.35,4.355,4.35,4.355,2612
2021-11-19,4.355,4.355,4.355,4.355,400
2021-11-19,4.35,4.35,4.35,4.35,400
2021-11-19,4.35,4.35,4.35,4.35,200
2021-11-19,4.35,4.35,4.35,4.35,100
2021-11-19,4.35,4.35,4.35,4.35,998
2021-11-19,4.34,4.34,4.34,4.34,379
2021-11-19,4.33,4.33,4.33,4.33,401
2021-11-19,4.33,4.33,4.33,4.33,1902
2021-11-19,4.335,4.335,4.335,4.335,100
2021-11-19,4.34,4.34,4.34,4.34,100
2021-11-19,4.34,4.34,4.34,4.34,100
2021-11-19,4.33,4.33,4.32,4.32,1867
2021-11-19,4.32,4.32,4.32,4.32,500
2021-11-19,4.32,4.32,4.32,4.32,200
2021-11-19,4.32,4.32,4.32,4.32,101
2021-11-19,4.315,4.315,4.315,4.315,200
2021-11-19,4.31,4.31,4.31,4.31,181
2021-11-19,4.32,4.32,4.32,4.32,2135
2021-11-19,4.32,4.32,4.32,4.32,226
2021-11-19,4.32,4.325,4.32,4.325,1100
2021-11-19,4.32,4.32,4.32,4.32,175
2021-11-19,4.32,4.32,4.32,4.32,100
2021-11-19,4.31,4.31,4.31,4.31,525
2021-11-19,4.31,4.31,4.31,4.31,781
2021-11-19,4.3,4.3,4.3,4.3,700
2021-11-19,4.28,4.285,4.275,4.28,2400
2021-11-19,4.28,4.28,4.275,4.275,2100
2021-11-19,4.285,4.3,4.285,4.3,966
2021-11-19,4.3,4.305,4.295,4.295,2956
2021-11-19,4.3,4.3,4.3,4.3,470
2021-11-19,4.295,4.3,4.295,4.3,1250
2021-11-19,4.3,4.3,4.3,4.3,679
2021-11-19,4.305,4.305,4.305,4.305,100
2021-11-19,4.31,4.31,4.31,4.31,600
2021-11-19,4.31,4.31,4.305,4.305,1700
2021-11-19,4.31,4.31,4.305,4.31,300
2021-11-19,4.3,4.3,4.285,4.285,1040
2021-11-19,4.29,4.29,4.29,4.29,1900
2021-11-19,4.29,4.295,4.29,4.295,500
2021-11-19,4.295,4.295,4.295,4.295,100
2021-11-19,4.295,4.295,4.295,4.295,136
2021-11-19,4.29,4.29,4.29,4.29,1000
2021-11-19,4.3,4.3,4.3,4.3,165
2021-11-19,4.29,4.29,4.29,4.29,4000
2021-11-19,4.27,4.275,4.27,4.275,1778
2021-11-19,4.275,4.275,4.275,4.275,301
2021-11-19,4.285,4.285,4.285,4.285,100
2021-11-19,4.29,4.295,4.29,4.295,200
2021-11-19,4.295,4.295,4.295,4.295,200
2021-11-19,4.29,4.29,4.29,4.29,200
2021-11-19,4.29,4.29,4.285,4.285,514
2021-11-19,4.295,4.3,4.295,4.3,200
2021-11-19,4.31,4.31,4.31,4.31,399
2021-11-19,4.3,4.3,4.3,4.3,1000
2021-11-19,4.29,4.3,4.29,4.3,2400
2021-11-19,4.31,4.31,4.31,4.31,800
2021-11-19,4.31,4.31,4.305,4.305,300
2021-11-19,4.3,4.3,4.3,4.3,100
2021-11-19,4.3,4.3,4.3,4.3,200
2021-11-19,4.295,4.3,4.295,4.3,1001
2021-11-19,4.29,4.29,4.29,4.29,245
2021-11-19,4.28,4.28,4.28,4.28,300
2021-11-19,4.28,4.285,4.28,4.285,400
2021-11-19,4.285,4.285,4.285,4.285,212
2021-11-19,4.29,4.29,4.29,4.29,400
2021-11-19,4.28,4.28,4.28,4.28,400
2021-11-19,4.28,4.28,4.28,4.28,100
2021-11-19,4.28,4.28,4.28,4.28,100
2021-11-19,4.285,4.285,4.285,4.285,1000
2021-11-19,4.275,4.275,4.275,4.275,201
2021-11-19,4.265,4.265,4.26,4.26,505
2021-11-19,4.26,4.26,4.25,4.25,400
2021-11-19,4.25,4.255,4.25,4.255,400
2021-11-19,4.26,4.26,4.26,4.26,100
2021-11-19,4.26,4.26,4.26,4.26,204
2021-11-19,4.26,4.265,4.26,4.265,643
2021-11-19,4.26,4.26,4.26,4.26,200
2021-11-19,4.26,4.26,4.26,4.26,100
2021-11-19,4.26,4.26,4.26,4.26,400
2021-11-19,4.255,4.255,4.255,4.255,200
2021-11-19,4.255,4.265,4.255,4.265,5458
2021-11-19,4.27,4.28,4.27,4.28,3500
2021-11-19,4.285,4.285,4.285,4.285,100
2021-11-19,4.28,4.28,4.28,4.28,600
2021-11-19,4.27,4.27,4.27,4.27,600
2021-11-19,4.265,4.265,4.265,4.265,300
2021-11-19,4.265,4.265,4.265,4.265,100
2021-11-19,4.28,4.28,4.28,4.28,200
2021-11-19,4.27,4.275,4.27,4.275,400
2021-11-19,4.27,4.27,4.27,4.27,300
2021-11-19,4.27,4.295,4.27,4.295,2100
2021-11-19,4.3,4.3,4.3,4.3,100
2021-11-19,4.305,4.305,4.305,4.305,100
2021-11-19,4.305,4.305,4.305,4.305,100
2021-11-19,4.3,4.3,4.295,4.295,400
2021-11-19,4.295,4.295,4.295,4.295,100
2021-11-19,4.29,4.29,4.28,4.28,596
2021-11-19,4.28,4.28,4.28,4.28,100
2021-11-19,4.275,4.275,4.275,4.275,202
2021-11-19,4.27,4.27,4.27,4.27,151
2021-11-19,4.27,4.27,4.27,4.27,914
2021-11-19,4.27,4.27,4.27,4.27,200
2021-11-19,4.26,4.26,4.26,4.26,200
2021-11-19,4.26,4.265,4.255,4.26,6353
2021-11-19,4.26,4.265,4.26,4.26,1111
2021-11-19,4.26,4.26,4.26,4.26,1400
2021-11-19,4.26,4.26,4.26,4.26,300
2021-11-19,4.26,4.26,4.26,4.26,500
2021-11-19,4.26,4.26,4.26,4.26,900
2021-11-19,4.26,4.26,4.26,4.26,1262
2021-11-19,4.26,4.265,4.26,4.265,4000
2021-11-19,4.26,4.26,4.26,4.26,1895
2021-11-19,4.26,4.26,4.26,4.26,1000
2021-11-19,4.265,4.27,4.265,4.265,7272
2021-11-19,4.265,4.265,4.265,4.265,500
2021-11-19,4.265,4.265,4.265,4.265,997
2021-11-19,4.265,4.265,4.265,4.265,700
2021-11-19,4.265,4.265,4.265,4.265,530
2021-11-19,4.255,4.255,4.255,4.255,361
2021-11-19,4.255,4.255,4.25,4.255,4035
2021-11-19,4.255,4.255,4.25,4.255,3460
2021-11-19,4.255,4.26,4.25,4.255,2911
2021-11-19,4.255,4.26,4.255,4.255,1503
2021-11-19,4.255,4.26,4.255,4.255,2018
2021-11-19,4.255,4.26,4.25,4.255,4467
2021-11-22,4.28,4.28,4.28,4.28,1520
2021-11-22,4.25,4.25,4.25,4.25,300
2021-11-22,4.27,4.275,4.265,4.275,4850
2021-11-22,4.265,4.27,4.265,4.27,1700
2021-11-22,4.26,4.26,4.235,4.235,1851
2021-11-22,4.235,4.235,4.185,4.19,4330
2021-11-22,4.185,4.2,4.185,4.195,6513
2021-11-22,4.19,4.19,4.18,4.18,813
2021-11-22,4.175,4.19,4.175,4.19,3132
2021-11-22,4.185,4.19,4.185,4.19,800
2021-11-22,4.16,4.17,4.145,4.145,2081
2021-11-22,4.13,4.145,4.13,4.145,1950
2021-11-22,4.145,4.145,4.125,4.14,4000
2021-11-22,4.135,4.14,4.135,4.135,2100
2021-11-22,4.135,4.135,4.115,4.115,2620
2021-11-22,4.115,4.16,4.115,4.16,8826
2021-11-22,4.16,4.17,4.155,4.165,2400
2021-11-22,4.18,4.18,4.18,4.18,400
2021-11-22,4.195,4.195,4.175,4.175,2242
2021-11-22,4.17,4.18,4.16,4.175,1452
2021-11-22,4.165,4.18,4.165,4.18,1900
2021-11-22,4.175,4.185,4.175,4.18,1502
2021-11-22,4.185,4.19,4.175,4.175,1795
2021-11-22,4.165,4.195,4.165,4.195,1000
2021-11-22,4.2,4.205,4.195,4.195,1700
2021-11-22,4.19,4.195,4.19,4.195,400
2021-11-22,4.195,4.2,4.195,4.2,1400
2021-11-22,4.2,4.21,4.18,4.18,3254
2021-11-22,4.185,4.185,4.165,4.165,700
2021-11-22,4.165,4.17,4.165,4.165,1200
2021-11-22,4.165,4.175,4.165,4.175,700
2021-11-22,4.175,4.195,4.175,4.195,1239
2021-11-22,4.195,4.2,4.195,4.2,1011
2021-11-22,4.205,4.215,4.205,4.21,2900
2021-11-22,4.205,4.205,4.205,4.205,600
2021-11-22,4.21,4.225,4.21,4.22,2378
2021-11-22,4.225,4.225,4.22,4.225,1474
2021-11-22,4.225,4.23,4.225,4.225,600
2021-11-22,4.225,4.225,4.225,4.225,700
2021-11-22,4.225,4.225,4.205,4.205,2100
2021-11-22,4.205,4.205,4.205,4.205,269
2021-11-22,4.205,4.215,4.205,4.215,1100
2021-11-22,4.205,4.205,4.205,4.205,1000
2021-11-22,4.215,4.22,4.215,4.215,1287
2021-11-22,4.225,4.225,4.215,4.215,601
2021-11-22,4.215,4.23,4.215,4.225,1500
2021-11-22,4.225,4.225,4.225,4.225,322
2021-11-22,4.215,4.22,4.215,4.215,1200
2021-11-22,4.215,4.215,4.195,4.195,1800
2021-11-22,4.2,4.205,4.2,4.205,500
2021-11-22,4.205,4.205,4.205,4.205,1300
2021-11-22,4.205,4.21,4.205,4.205,490
2021-11-22,4.205,4.21,4.205,4.205,1201
2021-11-22,4.2,4.21,4.2,4.21,1400
2021-11-22,4.215,4.22,4.215,4.22,1100
2021-11-22,4.22,4.22,4.175,4.175,2700
2021-11-22,4.17,4.17,4.165,4.165,2500
2021-11-22,4.16,4.17,4.145,4.15,7084
2021-11-22,4.15,4.15,4.135,4.135,1000
2021-11-22,4.145,4.145,4.14,4.145,1300
2021-11-22,4.155,4.155,4.155,4.155,600
2021-11-22,4.175,4.175,4.17,4.17,940
2021-11-22,4.17,4.17,4.155,4.155,1515
2021-11-22,4.155,4.155,4.155,4.155,250
2021-11-22,4.155,4.165,4.14,4.14,4600
