Date,Open,High,Low,Close,Volume
2021-11-19,46.625,46.625,46.57,46.57,300
2021-11-19,46.53,46.54,46.53,46.535,302
2021-11-19,46.64,46.64,46.64,46.64,100
2021-11-19,46.63,46.63,46.59,46.59,220
2021-11-19,46.61,46.61,46.61,46.61,230
2021-11-19,46.605,46.605,46.605,46.605,125
2021-11-19,46.57,46.57,46.53,46.54,767
2021-11-19,46.53,46.53,46.53,46.53,247
2021-11-19,46.53,46.53,46.53,46.53,100
2021-11-19,46.73,46.73,46.73,46.73,507
2021-11-19,46.725,46.725,46.725,46.725,100
2021-11-19,46.74,46.74,46.72,46.72,242
2021-11-19,46.64,46.66,46.64,46.66,200
2021-11-19,46.67,46.67,46.67,46.67,101
2021-11-19,46.67,46.67,46.67,46.67,100
2021-11-19,46.66,46.705,46.66,46.705,273
2021-11-19,46.645,46.68,46.645,46.68,200
2021-11-19,46.88,46.88,46.88,46.88,100
2021-11-19,46.87,46.87,46.87,46.87,100
2021-11-19,46.985,46.985,46.93,46.93,500
2021-11-19,47.02,47.02,47.02,47.02,100
2021-11-19,47.08,47.08,47.08,47.08,300
2021-11-19,47.07,47.07,46.97,47,400
2021-11-19,47.03,47.03,47.03,47.03,100
2021-11-19,46.93,46.93,46.93,46.93,100
2021-11-19,47.005,47.005,47.005,47.005,100
2021-11-19,46.99,47,46.99,47,825
2021-11-19,47,47,47,47,210
2021-11-19,46.965,46.965,46.9,46.9,1124
2021-11-19,46.905,46.905,46.905,46.905,164
2021-11-19,46.965,46.965,46.965,46.965,388
2021-11-19,46.89,46.89,46.88,46.88,275
2021-11-19,46.975,46.975,46.975,46.975,100
2021-11-19,46.97,46.97,46.97,46.97,100
2021-11-19,46.92,46.92,46.92,46.92,321
2021-11-19,46.93,46.93,46.93,46.93,400
2021-11-19,46.95,46.95,46.95,46.95,190
2021-11-19,46.86,46.86,46.86,46.86,155
2021-11-19,46.855,46.855,46.855,46.855,200
2021-11-19,46.87,46.87,46.87,46.87,300
2021-11-19,46.84,46.84,46.84,46.84,331
2021-11-19,46.91,46.91,46.91,46.91,100
2021-11-19,46.91,46.91,46.91,46.91,235
2021-11-19,46.77,46.77,46.77,46.77,188
2021-11-19,46.735,46.735,46.735,46.735,220
2021-11-19,46.62,46.62,46.62,46.62,200
2021-11-19,46.62,46.62,46.62,46.62,600
2021-11-19,46.61,46.61,46.6,46.6,200
2021-11-19,46.63,46.63,46.63,46.63,100
2021-11-19,46.615,46.615,46.615,46.615,103
2021-11-19,46.56,46.56,46.53,46.53,344
2021-11-19,46.49,46.525,46.48,46.525,1670
2021-11-19,46.52,46.53,46.51,46.53,1180
2021-11-19,46.52,46.52,46.52,46.52,300
2021-11-19,46.54,46.54,46.54,46.54,200
2021-11-19,46.525,46.525,46.525,46.525,100
2021-11-19,46.55,46.55,46.55,46.55,100
2021-11-19,46.45,46.46,46.44,46.46,600
2021-11-19,46.39,46.39,46.39,46.39,140
2021-11-19,46.57,46.62,46.57,46.62,310
2021-11-19,46.595,46.595,46.595,46.595,120
2021-11-19,46.62,46.62,46.62,46.62,100
2021-11-19,46.51,46.51,46.51,46.51,200
2021-11-19,46.67,46.67,46.67,46.67,120
2021-11-19,46.68,46.68,46.67,46.67,754
2021-11-19,46.67,46.67,46.67,46.67,100
2021-11-19,46.81,46.81,46.81,46.81,100
2021-11-19,46.75,46.75,46.75,46.75,100
2021-11-19,46.785,46.785,46.785,46.785,100
2021-11-19,46.82,46.82,46.82,46.82,100
2021-11-19,46.815,46.815,46.815,46.815,200
2021-11-19,46.84,46.84,46.84,46.84,100
2021-11-19,46.82,46.82,46.82,46.82,157
2021-11-19,46.87,46.87,46.87,46.87,103
2021-11-19,46.945,46.945,46.945,46.945,100
2021-11-19,46.96,46.96,46.95,46.95,200
2021-11-19,47,47,47,47,439
2021-11-19,46.995,46.995,46.98,46.98,422
2021-11-19,46.89,46.9,46.89,46.9,400
2021-11-19,46.86,46.87,46.86,46.87,600
2021-11-19,46.89,46.89,46.89,46.89,114
2021-11-19,46.88,46.92,46.88,46.92,200
2021-11-19,46.925,46.925,46.925,46.925,100
2021-11-19,46.91,46.91,46.845,46.845,483
2021-11-19,46.82,46.82,46.8,46.8,261
2021-11-19,46.9,46.9,46.9,46.9,100
2021-11-19,46.88,46.89,46.86,46.88,581
2021-11-19,46.88,46.88,46.88,46.88,300
2021-11-19,46.865,46.865,46.82,46.82,769
2021-11-19,46.8,46.8,46.8,46.8,500
2021-11-19,46.785,46.785,46.785,46.785,400
2021-11-19,46.76,46.76,46.76,46.76,100
2021-11-19,46.78,46.78,46.76,46.76,300
2021-11-19,46.75,46.77,46.75,46.77,200
2021-11-19,46.77,46.78,46.77,46.78,400
2021-11-19,46.85,46.85,46.85,46.85,284
2021-11-19,46.84,46.865,46.84,46.865,268
2021-11-19,46.86,46.86,46.86,46.86,1096
2021-11-19,46.85,46.85,46.85,46.85,100
2021-11-19,46.875,46.875,46.875,46.875,103
2021-11-19,46.86,46.86,46.86,46.86,104
2021-11-19,46.72,46.72,46.71,46.71,380
2021-11-19,46.78,46.79,46.76,46.76,511
2021-11-19,46.77,46.77,46.77,46.77,216
2021-11-19,46.77,46.77,46.73,46.74,300
2021-11-19,46.73,46.73,46.73,46.73,116
2021-11-19,46.75,46.765,46.73,46.74,731
2021-11-19,46.73,46.75,46.72,46.72,780
2021-11-19,46.74,46.74,46.71,46.74,627
2021-11-19,46.74,46.74,46.71,46.71,576
2021-11-19,46.7,46.7,46.62,46.62,450
2021-11-19,46.64,46.64,46.62,46.62,300
2021-11-19,46.67,46.67,46.65,46.66,504
2021-11-19,46.67,46.7,46.67,46.7,530
2021-11-19,46.64,46.64,46.64,46.64,102
2021-11-19,46.79,46.87,46.79,46.79,1700
2021-11-19,46.82,46.9,46.82,46.89,825
2021-11-19,46.865,46.875,46.865,46.875,200
2021-11-19,46.84,46.84,46.84,46.84,100
2021-11-19,46.86,46.86,46.85,46.85,504
2021-11-19,46.92,46.92,46.92,46.92,100
2021-11-19,46.88,46.88,46.86,46.86,200
2021-11-19,46.82,46.82,46.82,46.82,100
2021-11-19,46.84,46.85,46.82,46.82,600
2021-11-19,46.8,46.8,46.8,46.8,100
2021-11-19,46.79,46.79,46.79,46.79,385
2021-11-19,46.77,46.81,46.77,46.81,410
2021-11-19,46.81,46.81,46.74,46.74,480
2021-11-19,46.64,46.69,46.64,46.69,300
2021-11-19,46.68,46.68,46.68,46.68,678
2021-11-19,46.64,46.64,46.64,46.64,285
